state,district,state_id,district_id,data_name,external_id,data_id,category,phone_1,is_duplicate,downvotes,upvotes,created_job,email,price,title,address,comment,deleted,phone_2,pincode,latitude,longitude,created_by,created_on,Assigned_to,description,source_link,verified_by,resource_type,last_verified_on,quantity_available,verification_status,city,pin_code,resource type,hospital_available_icu_beds,hospital_available_normal_beds,hospital_available_oxygen_beds,hospital_available_ventilator_beds,oxygen supplier willing to join WhatsAppBot
Maharashtra,Aurangabad,22,365,COVIDFYI,b2da403e-2391-4af8-98a2-f1f58658ad8c,1463,medicine,9890588511,False,0,0,8,manishagencies1980@gmail.com,,MANISH AGENCIES,"Ratan, Shop No :- 1CST No 5451 Dalalwadi Main Road,Malmatta NO D0008084Ground  Floor 1st Floor 2nd Flr,Aurangabad,431001",,False,,431001,19.8756639,75.3393162,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,22/4/2021 2:16pm,,Unresponsive,,,,,,,,
Maharashtra,Wardha,22,395,COVIDFYI,179737a9-cad9-4fdc-b054-24be30cb6b53,1636,medicine,07152-248451 942,False,0,0,8,maheshagencies98@gmail.com,,MAHESH AGENCIES,"SHOP NO. 4, WING NO. 35,MEDI TRADE CENTRETELANGPURA,WARDHA,442401",,False,,442401,20.745319,78.6021946,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,27/4/2021 6:28pm,,Pending,,,,,,,,
Maharashtra,Gondia,22,372,COVIDFYI,0b43a729-85ca-47c5-a38b-2307095b19f4,1682,medicine,7182231523,False,0,0,8,vmsgondia@gmail.com,,VIKAS MEDICAL STORES,"H. NO. 19/1, DESHBANDHU WARDGONDIA,GONDIA,441614",,False,,441614,21.4549477,80.1960712,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,27/4/2021 6:28pm,,Pending,,,,,,,,
Maharashtra,Yavatmal,22,397,COVIDFYI,17d41985-d5bb-49c3-88fb-05c0fde22411,1423,medicine,07232-250317 25,False,0,0,8,apx.pharma@rediffmail.com,,APEX PHARMA,"HALL NO. 3 , 2 ND FLOORNAGAR PARISHAD COMPLEX,DATTA  CHOWK,YAWATMAL,YAVATMAL,445001",Contact is not reachable,False,,445001,20.3879561,78.1292162,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,22/4/2021 2:52pm,,Unresponsive,,,,,,,,
Delhi (NCT),New Delhi,12,158,COVIDFYI,f7bf4cf2-34dd-4134-8001-01102eb9b09d,1888,medicine,9717744304,False,0,0,8,,,Anil Bhatia @ M/S plus distribution,"M/S plus distribution, K 21 Peera Garhi, Udyog Nagar, Mangolpuri S block, Delhi 11-41",,False,,,28.6813963,77.0915418,,,,,https://twitter.com/mygovindia/status/1386013218116575233/photo/3,Bharath Alur,Remdesivir,27/4/2021 6:28pm,,Pending,,,,,,,,
Maharashtra,Mumbai City,22,378,COVIDFYI,f83de276-9b05-4c5c-aa2c-694ce6d971a3,1991,medicine,022 6131 2000,False,0,0,8,,,MEHER DISTRIBUTORS PVT.LTD. (BYCULL,"MUSTAFA BAZAR124 VICTORIA ROADBYCULLA ( EAST ),Mumbai,400010",When called they informed that remdesivir is being directly supplied to the hospital and they won't keep the stock anymore - 24th april 11am,False,,400010,18.9758278,72.836069,,,,Remdesivir Distributor,,Bharath Alur,Remdesivir,27/4/2021 6:28pm,,Pending,,,,,,,,
Maharashtra,Amravati,22,364,COVIDFYI,bb19daee-5730-4454-b91c-1e934798f3da,1306,medicine,9326865689,False,0,0,8,med.ishwar@gmail.com,,ISHWAR AGENCIES,"SHOP NO. SFH/B, 2ND FLOOR , PROPERTY NO. 627 (3)WARD NO.23, MAHAVIR  PLAZA ,DAWA BAZAR,RALLIES PLOTS,AMRAVATI,444601",Stock not available. Both Medicine & Injection.,False,,444601,20.9308175,77.7555445,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,27/4/2021 6:47pm,,Unavailable but verified,,,,,,,,
Maharashtra,Washim,22,396,COVIDFYI,d6f25ba0-9b8d-421b-9fb0-037dfa9f58d1,1335,medicine,07252 - 234699 2,False,0,0,8,ajayagen@gmail.com,,AJAY AGENCIES,"PATNI CHOWK,WASHIMWASHIM,WASHIM,444505","No COVID-19 drugs are available, will get a fresh stock when the company manufactures it.",False,,444505,20.1112779,77.1302616,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,27/4/2021 6:49pm,,Unavailable but verified,,,,,,,,
Punjab,Amritsar,29,478,COVIDFYI,092aea60-052b-447f-9900-f671ff25411a,1381,medicine,0183-5050684,False,0,0,8,kavyapharmaasr1@gmail.com,,KAVYA PHARMA,"BUILDING NO 1333/12-13KUCHA DAL KHANA KATRA SHER  SINGH,AMRITSAR,143001",No response,False,,143001,31.6292607,74.8744699,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,24/4/2021 6:54pm,,Unresponsive,,,,,,,,
Rajasthan,Jaipur,30,515,COVIDFYI,5b219510-9c21-4c6a-a523-e6d97de70265,1535,medicine,0141-2225554,False,0,0,8,dhruvi_jpr@yahoo.co.in,,DHRUVI PHARMA PVT LTD.,"B-12 GROUND FLOOR & FIRST FLOORSUDERSHANPURA INDUSTRIAL AREA,22  GODAM, JAIPUR,JAIPUR,302006",Not a valid number,False,,302006,,,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,24/4/2021 8:36pm,,Invalid,,,,,,,,
Maharashtra,Pune,22,387,COVIDFYI,65d2131d-59a9-4110-ab99-c0de2483c992,1809,medicine,9326035767,False,0,0,8,,,"OFFICE OF JOINT COMMISSIONER FDA PUNE,791/93, NEW GURUWAR PETH, PUNE 411042,PUNE",Pune-Zone2,Not picking up,False,,,18.5136426,73.8808291,,,,Medicines - Remdesivir,,Bharath Alur,,27/4/2021 6:28pm,,Pending,,,,,,,,
Maharashtra,Mumbai Suburban,22,379,COVIDFYI,02222c62-b2df-49ad-aeac-86ffea4a6b6f,1820,medicine,8080804398,False,0,0,8,,,Deepesh Pharmacy,Mulund,Only 2 strips left,False,,,19.1725542,72.942537,,,,Medicine - Fabiflu- 800 & 400 mg,,Bharath Alur,Fabiflu,27/4/2021 6:28pm,,Pending,,,,,,,,
Maharashtra,Mumbai City,22,378,COVIDFYI,eaa8b2af-d32b-44f3-a0cd-3e7f48c4b8e0,1672,medicine,2261312000,False,0,0,8,cipla@meherdistributors.com,,MEHER DISTRIBUTORS Pvt LTD C H,"MUSTAFA BAZAR124 VICTORIA ROADBYCULLA ( EAST ),Mumbai,400010",,False,,400010,18.9758278,72.836069,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,27/4/2021 6:28pm,,Pending,,,,,,,,
Punjab,Ludhiana,29,489,COVIDFYI,1fabe820-8f35-4142-aef1-c996d711fcb3,1502,medicine,7926576739,False,0,0,8,mahendramedicines@gmail.com,,MAHENDRA MEDICINES,"NALANDA ENCLAVEPRITAMNAGAROPP SUDAMA RESORTELLIS  BRIDGEAHMEDABAD,Ahmedabad,380006",,False,,380006,23.0198924,72.568681,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,23/4/2021 6:23pm,,Unresponsive,,,,,,,,
Uttar Pradesh,Kanpur Dehat,35,650,COVIDFYI,1634b6cc-b35b-420c-b7ae-2acfa6ac30f5,1316,medicine,9415042016,False,0,0,8,talatibrothers@reddifmail.com,,TALATI BROS,"59/32, BIRHANA ROADKANPURKANPUR,KANPUR,208001","If this call is regarding Remdevisir/Tamiflu/Tocilizumab, then I am sorry because it has been take over by DM. Contact COVID hosiptals for its availability. Stocked out, contact COVID hospitals for availability",False,,208001,26.464522,80.3583531,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,27/4/2021 6:48pm,,Unavailable but verified,,,,,,,,
Delhi (NCT),New Delhi,12,158,COVIDFYI,d2ae3a3b-420e-4f6a-b5ac-561501f213ad,1373,medicine,49057606,False,0,0,8,ho@impexgoc.com,,IMPEX HEALTHCARE Pvt. Ltd.,"B-6/5, Ground Floor,Okhla Indl. Area, Ph -2,New Delhi,110020",Operator connects to someone who doesn't pick up. Happened twice.,False,,110020,28.5388479,77.2753728,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,23/4/2021 12:46pm,,Unresponsive,,,,,,,,
Gujarat,Surat,14,200,COVIDFYI,25b8efca-cf0b-4f2c-9526-32e9e6ca87a3,1628,medicine,2612438769,False,0,0,8,k.raj.co.surat@gmail.com,,K RAJ & CO.,"12/1148, 1ST FLOORRAZAK BAND LANE,DAR-E-ELAAF,LUHAR  POLE,SHAHPORE,,SURAT,395003",,False,,395003,21.2006385,72.8252976,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,27/4/2021 6:28pm,,Pending,,,,,,,,
Uttarakhand,Dehradun,36,687,COVIDFYI,baf07976-79bb-4f65-9c82-c5ad1075e72e,1331,medicine,9634094090,False,0,0,8,neeraj@ruchimedical.com,,RUCHI MEDICAL PVT. LTD,"18 P.D TANDON MARGLAXMAN CHOWKDEHRADUN,DEHRADUN,248001",Stocked out. No comment on when the stock will be replinished. Will not be sold to patients directly,False,,248001,30.3188494,78.0246329,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,27/4/2021 6:49pm,,Unavailable but verified,,,,,,,,
Madhya Pradesh,Jabalpur,21,333,COVIDFYI,7f6d3212-371f-49c1-b618-37b51043d288,1654,medicine,0761-4003399 4066179,False,0,0,8,mgtjbp11@gmail.com,,MEDICAL AND GENERAL TRADERS(JABALPU,"SHREEDHAR , 3 MEDICINE COMPLEXMODEL ROAD, NAPIER  TOWNJABALPURJABALPUR (M.P.),JABALPUR,482002","first number is invalid, no answer on the second one",False,,482002,23.2103329,79.8856824,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,5/1/2021 15:53:03,,Pending,,,,,,,,
Telangana,Hyderabad,33,571,COVIDFYI,66bc6ebe-3096-4966-b01b-69a541cc1242,1272,medicine,8897058832,False,0,0,8,akshayamedicalagencies@gmail.com,,AKSHAYA MEDICAL & SURGICAL AGENCIES,"PLOT NO F-4/B/1GANDHI NAGAR IDAQUTHBULLAPUR MANDALMEDCHAL  MALKAJGIRI,HYDERABAD,500037",First number texted saying that Remdesivir isn't available but isn't answering the call.,False,,500037,17.4899635,78.4352235,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,27/4/2021 6:46pm,,Unavailable but verified,,,,,,,,
Maharashtra,Nashik,22,383,COVIDFYI,09f11407-dac3-483f-a9f2-acf3ee6a5716,1498,medicine,9822024000,False,0,0,8,indiramedicalagencies1976@gmail.com,,M/s. Indira Medical Agencies,"Shop No 1, 2 & 5In No 704016 56 57 & 60Safalya Apartment, Gole ColonyMahanagar  Palika 1 to 61,Nashik,422002",No. is switched off,False,,422002,41.8282018,-87.7907039,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,23/4/2021 3:13pm,,Unresponsive,,,,,,,,
Maharashtra,Nagpur,22,380,COVIDFYI,c8917b49-083d-4e3c-ac1c-bc3dfc1690b1,1513,medicine,9370151555,False,0,0,8,jjaswantlal@gmail.com,,J.JASWANTLAL & BROTHERS,"SHOP NO. 13,14,25,26,113,114,213SANDESH DAWA BAZAR, NEAR HAJ  HOUSEGANJIPETH, NAGPUR,NAGPUR,440002",Contact Number is busy.,False,,440002,21.1502557,79.0991803,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,23/4/2021 8:17pm,,Unresponsive,,,,,,,,
Madhya Pradesh,Bhopal,21,319,COVIDFYI,9dec3089-508c-4c8b-9528-39f3555fae4e,1353,medicine,9893374031,False,0,0,8,kamalagenciesbpl@yahoo.in,,KAMAL AGENCIES BHOPAL,"6/A, REHMAT MARKETNEAR GHORA NIKKASBUS STAND, BHOPALBHOPAL  (M.P.),BHOPAL,462001",Switched off,False,,462001,23.2696083,77.3956004,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,24/4/2021 11:37am,,Unresponsive,,,,,,,,
Gujarat,Rajkot,14,194,COVIDFYI,700f47f3-e9fc-4b74-b584-2eb96c7b99f9,1581,medicine,9825223432,False,0,0,8,rajkotssma@gmail.com,,SAURASHTRA SURGICAL MEDICAL AGENCY,"MAITRI OPP.TALUKA SCHOOLNR.MOTI TANKI,P.O.BOX  123RAJKOT,RAJKOT,360001",,False,,360001,22.2972133,70.7964887,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,27/4/2021 6:28pm,,Pending,,,,,,,,
Delhi (NCT),New Delhi,12,158,COVIDFYI,b092c9fa-58fb-4080-8571-09217059caaf,1985,medicine,9999112307,False,0,0,8,,,Sh Ashutosh,"NRI Healthcare, Nandi Vithi Road, Block B, Zamrudpur, Delhi 110048",,False,,110048,28.5566285,77.2356992,,,,,,Bharath Alur,Remdesivir,27/4/2021 6:28pm,,Pending,,,,,,,,
Telangana,Hyderabad,33,571,COVIDFYI,82c20af4-81a2-4bb5-810b-b0faacde63c0,1398,medicine,9100339990,False,0,0,8,pharmacy@omegahospitals.com,,HYDERABAD INSTITUTE OF ONCOLOGY PVT,"LTD (CENTRAL MEDICAL STORE)SRI VENKATESWARA CO P HOUSINGBUILDING  SOCIETY ROAD NO-2D NO:8-2-293/82/L/276/ABANJARAHILLS,",Switched off,False,,,55.9910414,-3.4112337,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,23/4/2021 7:21pm,,Unresponsive,,,,,,,,
Haryana,Kurukshetra,15,212,COVIDFYI,658f310c-b1c2-4a25-84ed-75edcf9a1db7,1301,medicine,9812026380,False,0,0,8,ajay.radhakishan@gmail.com,,RADHA KISHAN PHARMACEUTICALS,"440/8INDIRA COLONY, KURUKSHETRAMAYA COMPLEX, NEAR ANKUR NURSING  HOME,KURUKSHETRA,136118","Not Available   Ringing, no one picking up",False,,136118,29.9700092,76.8417394,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,27/4/2021 6:47pm,,Unavailable but verified,,,,,,,,
Maharashtra,Mumbai Suburban,22,379,COVIDFYI,6be1a7b3-451f-4838-a16f-1bfba7139f5a,1677,medicine,9819584067 / 075,False,0,0,8,saikrishnalifesciences01@gmail.com,,SAI KRISHNA LIFESCIENCES,"GALA NO.305/306 MEWAD BLDG PATANWALA INDL ESTATELBS  MARGGHATKOPAR ( WEST )OPP SHREYAS CINRMA,MUMBAI,400086",,False,,400086,19.091929,72.9116487,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,27/4/2021 6:28pm,,Pending,,,,,,,,
Bihar,Siwan,8,121,COVIDFYI,2078990d-0559-4456-acf2-338eb5c098a8,1743,medicine,7274815835,False,0,0,8,me.raushanpcs@gmail.com,,Gupta Distributors,"Station Road, Siwan, Bihar","This supplier have Digital thermometer, steam machines, spray machines, PPE masks, Indian Oximeter, Sodium hydrochlorite. They have limited stocks available as per communication.",False,,,26.2119653,84.3581927,,,,"This supplier have Digital thermometer, steam machines, spray machines, PPE masks, Indian Oximeter, Sodium hydrochlorite.",Friend whtsap,Bharath Alur,Others,27/4/2021 6:28pm,,Pending,,,,,,,,
Madhya Pradesh,Gwalior,21,329,COVIDFYI,6ea867ba-1681-4f10-8d15-5d6d0e9989dd,1454,medicine,0751-2423958/2425755,False,0,0,8,info@rajmedicalagencies.com,,RAJ MEDICAL AGENCIES (GWL),"HUZRAT ROAD,LASHKARGWALIORGWALIOR (M.P.),GWALIOR,474001","First number is invalid, second one is busy",False,,474001,26.1956156,78.1581014,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,24/4/2021 11:20am,,Unresponsive,,,,,,,,
Delhi (NCT),New Delhi,12,158,COVIDFYI,2cb0772a-4b5a-4559-84a8-8fadd0c6b47e,1387,medicine,9310014268,False,0,0,8,narangbiotec@gmail.com,,NARANG BIOTEC PVT. LTD,"Plot No.3966, Roshnara RdOpposite Palace CinemaNear Pulbangash metro  station,DELHI,110007",Busy,False,,110007,28.6680848,77.2072075,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,23/4/2021 12:33pm,,Unresponsive,,,,,,,,
Maharashtra,Pune,22,387,COVIDFYI,457f3aee-0514-45f3-a752-104e62acde11,1554,medicine,2024461665,False,0,0,8,,,"MILTON HEALTHCARE LLP, PUNE","SHOP NO: S/7. GIRIJA SHANKAR APARTM1075 1 1114 SADASHIV  PETH,NIMBALKAR TALIM,Pune,411030",,False,,411030,18.5118799,73.8521326,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,27/4/2021 6:28pm,,Pending,,,,,,,,
Gujarat,Surat,14,200,COVIDFYI,6eff4eed-a051-4cf5-b980-7635f9f147b0,1539,medicine,0261-2425923 2454585,False,0,0,8,krishnamedicalagencies1992@gmail.com',,KRISHNA MEDICAL AGENCIES,"A/2,CHANDRAVILA APPARTMENTSNR. DR. BHAKKAS CLINIC,VANKI  BORDI,SAIYEDPURA,SURAT,SURAT,395003",Services to the number have been withdrawn,False,,395003,21.2015126,72.8261499,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,24/4/2021 6:27pm,,Invalid,,,,,,,,
Maharashtra,Nashik,22,383,COVIDFYI,d87e599a-7a30-406b-92ee-a42d033ebc62,1471,medicine,02554-231056,False,0,0,8,brahmagirient@gmail.com,,BRAHMHGIRI ENTERPRISES (CHQ),"SHRIRAM CHHAYA,10 KAPSE LANEMALEGAONDIST NASIK,MALEGAON,423203",,False,,423203,20.5467979,74.5580454,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,24/4/2021 11:51am,,Unresponsive,,,,,,,,
Delhi (NCT),New Delhi,12,158,COVIDFYI,53348aef-bc70-4852-af3c-274145807f3a,1369,medicine,011-25982030 ,False,0,0,8,gautamenterprises67@gmail.com,,GAUTAM ENTERPRISES,"WZ-69B, MUKHERJEE PARKTILAK NAGARNEW DELHINEW DELHI,DELHI,110018","First number not connecting, the other busy",False,9868124105,110018,28.6436082,77.0869837,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,23/4/2021 11:27am,,Unresponsive,,,,,,,,
Maharashtra,Mumbai City,22,378,COVIDFYI,a2e3330e-9905-4cba-bc20-02ed2255912e,1868,medicine,9892836216,False,0,0,8,,,"BANDRA KURLA COMPLEX,BANDRA (E),400051",Mumbai-Zone3,,False,,,18.9838697,72.8358408,,,,Medicines,,Bharath Alur,,27/4/2021 6:28pm,,Pending,,,,,,,,
Gujarat,Surat,14,200,COVIDFYI,ba8ebbea-c14e-4c74-ad45-c00069fd590d,1259,medicine,0261-2437887,False,0,0,8,foramdistributor@yahoo.com,,FORAM DISTRIBUTOR,"12/1086,1087,""TAHID PALACE"",LUHAR POL,MACHHALI PITHOPP..SATI MATA  MANDIRNR. GURUKRUPA MEDICAL AGENCY,,SURAT,395003",Out of stock,False,,395003,21.2005875,72.8259671,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,27/4/2021 6:46pm,,Unavailable but verified,,,,,,,,
Maharashtra,Pune,22,387,COVIDFYI,8854df09-0119-4a04-a2be-360477946887,1591,medicine,020-24478599/244,False,0,0,8,narayan_tapadiya@yahoo.co.in,,TAPADIA DISTRIBUTORS (PUNE),"SHOP NO 9 999 SADASHIV PETHNEAR BRAMHAN MANGAL  KARYALAYPUNEPUNE,PUNE,411030",,False,,411030,18.5120153,73.8483139,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,27/4/2021 6:28pm,,Pending,,,,,,,,
Delhi (NCT),New Delhi,12,158,COVIDFYI,b629590f-140e-4a1c-9b9a-b847699958ef,1829,medicine,9999222248 011-40391391,False,0,0,8,,,"SHOP 37,38 1st Floor MD Market Ner muni maya ram jain hospital ]",Pitampura,Go with patient's prescription and aadhar card,False,,,28.6989703,77.1387225,,,,,https://twitter.com/ewdaystark/status/1385880486329737219,Bharath Alur,,27/4/2021 6:28pm,,Pending,,,,,,,,
Delhi (NCT),New Delhi,12,158,COVIDFYI,51d7aab2-b18f-46a6-a3c5-e57656c4d1e9,1490,medicine,011-49837500,False,0,0,8,lppldelhi@yahoo.in,,"LUCKY PHARMACEUTICALS, APOLLO","Basement F-26/3,PHASE -IIOKHLA INDUSTRIAL AREANEW DELHI,NEW  DELHI,110020",Not picking up,False,,110020,28.53838,77.2721256,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,23/4/2021 12:32pm,,Unresponsive,,,,,,,,
Chhattisgarh,Raipur,10,148,COVIDFYI,389e5c1d-087b-4ccd-a2ae-5f29df02a480,1379,medicine,9826685444,False,0,0,8,,,SUYASH AGENCIES,"Shop No 58 910073-SUYASH AGENCIESAushadhi  VatikaDumartaraiRaipur,RAIPUR,492001",Not answering,False,,492001,21.2329892,81.6582994,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,23/4/2021 11:36am,,Unresponsive,,,,,,,,
Kerala,Ernakulam,1,7,COVIDFYI,45eeb2c4-14a9-4562-9a52-8390c7ef11fd,1430,medicine,7034028837,False,0,0,8,pharmapurchase@aims.amrita.edu,,AMRITA ENTERPRISES Pvt. Ltd,"AMRITA INSTITUTE OF MEDICAL SCIENCES AND RESEARCH CENTREAIMS  CAMPUS, AIMS PONEKKARA POPEELIYADErnakulam,Ernakulam,682041",Not answering the call,False,,682041,10.0328923,76.293442,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,23/4/2021 9:17pm,,Unresponsive,,,,,,,,
Chhattisgarh,Raipur,10,148,COVIDFYI,a30f4bb2-9c0e-4792-8b60-2b6145eec302,1501,medicine,9329106333,False,0,0,8,sadhanamedico@gmail.com,,SADHANA MEDICO TRADERS,"6,MEDICAL COMPLEX,G.E.ROAD,RAIPUR (C.G),RAIPUR,492001",No answer.,False,,492001,21.2441596,81.6118952,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,22/4/2021 9:47pm,,Unresponsive,,,,,,,,
Chhattisgarh,Bilaspur,10,132,COVIDFYI,817cb178-145b-4381-8431-43806cc670f1,1269,medicine,9827165765,False,0,0,8,melarambrothers.bsp@gmail.com,,MELARAM & BROTHERS,"BUS STAND ROADBILASPUR,BUS STAND ROAD BILASPUR,495001",Not available (his response-Only covid hospital me milega)  No answer.,False,,495001,22.0541918,82.1287224,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,27/4/2021 6:46pm,,Unavailable but verified,,,,,,,,
