state,district,state_id,district_id,phone_1,title,phone_2,last_verified_on,quantity_available,verification_status,resource_type
Karnataka,Bengaluru (Bangalore) Urban,19,283,9341045631,Siga Gases India (P) Ltd,,6th May. 1:24 PM,,verified,Cylinder
Bihar,Patna,8,112,8789410839,Oxygen,,,as per required,,refill
Rajasthan,Jaipur,30,515,8068442245,Sareen Surgicals Suppliers,0141 4006360,,,verified,refill
Maharashtra,Latur,22,377,98209840409820640000,"NILESH BHAI, PARESH BHAI",,"April 25, 2021 7:24 PM",,,Oxygen - Refill
Uttarakhand,Dehradun,36,687,9639271771,Hem pandey,,,,,oxygen bed
West Bengal,Kolkata,37,707,9830083350,no name,,5/10/2021 11:08:24,Undetermined,Phone Unreachable,
Karnataka,Bengaluru (Bangalore) Rural,19,282,9829057251,Wilson Air Products,,"April 25, 2021 7:24 PM",,,Oxygen
Uttar Pradesh,Allahabad,35,610,9892356727,Manoj,,"April 25, 2021 7:24 PM",,,Oxygen
Bihar,East Champaran (Motihari),8,96,1234567890,Oxygen - East Champaran,,,,3rd_party_verified,refill
West Bengal,North 24 Parganas,37,711,6290490078,no name,,5/10/2021 10:59:23,Will be available soon,Verified,
Karnataka,Bengaluru (Bangalore) Rural,19,282,9320032333,Nameless,,"April 25, 2021 7:24 PM",,,Oxygen
Delhi (NCT),New Delhi,12,158,9810497171,National Air Products,011 22130626,,,3rd_party_verified,refill
Karnataka,Belagavi (Belgaum),19,281,9922443055,Rukmani Metals and Gases India (I LTD.),,"April 25, 2021 7:24 PM",,,Oxygen
Uttar Pradesh,Kanpur Dehat,35,650,7905081817,Oxygen,,"April 25, 2021 7:24 PM",,,Oxygen
Madhya Pradesh,Indore,21,332,98202910889773610000,"SANJAY BHAI, PRITESH BHAI",,"April 25, 2021 7:24 PM",,,Oxygen - Refill
Karnataka,Bengaluru (Bangalore) Rural,19,282,9820413439,Gowaliya Tank,,"April 25, 2021 7:24 PM",,,Oxygen Cylinders
West Bengal,Purulia,37,714,9434030287,Shakti Sangha,,5/11/2021 12:45:30,Undetermined,Call not answered,
Delhi (NCT),New Delhi,12,158,9013809829,Oxygen,,,as per required,,refill
Karnataka,Bengaluru (Bangalore) Rural,19,282,9860399529,Sadharam gas,,"April 25, 2021 7:24 PM",,,Oxygen
Kerala,Kozhikode,1,11,9608791349,Gangotri,,"April 25, 2021 7:24 PM",,,Oxygen
Delhi (NCT),Central Delhi,12,156,9999777754,Shivangi - Max homecare,,"April 25, 2021 11:53 PM",Available,,
West Bengal,Kolkata,37,707,9007909784,Not Known,9674044720,5/10/2021 11:11:03,Undetermined,Call not answered,
Karnataka,Bengaluru (Bangalore) Urban,19,283,7760976505,Bhuruka Gases,,,,unreachable,refill
West Bengal,Purulia,37,714,917547999886,no name,,5/10/2021 11:10:50,Unavailable,Verified,
Rajasthan,Jaipur,30,515,9660752836,Dr Roshan,,,,Pending ,Oxygen Bed
Uttar Pradesh,Noida,35,637,9711619959,Adarsh,,"April 24, 2021 3:37 PM",Available,,Refil
Maharashtra,Mumbai City,22,378,9825027749,Urmi Oxygen,,"April 25, 2021 7:24 PM",,,Oxygen
Karnataka,Bengaluru (Bangalore) Rural,19,282,9.81415E+19,Jan Sewa,,"April 25, 2021 7:24 PM",,,Oxygen Cylinders
Karnataka,Bengaluru (Bangalore) Rural,19,282,8082382468,No Name,,"April 25, 2021 7:24 PM",,,Oxygen
Tamil Nadu,Coimbatore,32,539,9100100009,Oxygen Concentration (no other name given),,"April 25, 2021 7:24 PM",,,Oxygen
Bihar,Bhojpur,8,93,1234567890,Oxygen - Bhojpur,,,,3rd_party_verified,refill
West Bengal,South 24 Parganas,37,715,9830083350,Prabal Chowdhury,,5/10/2021 11:03:08,Undetermined,Phone Unreachable,
Karnataka,Mysuru (Mysore),19,300,9980909788,Peenya Industrial Gases Pvt. Ltd.,,44317,,Verified,Cylinder
Tamil Nadu,Chennai,32,538,8023301807,Maruthi Medical,,"April 25, 2021 7:24 PM",,,Oxygen
West Bengal,Hooghly,37,703,7003092869,no name,,5/10/2021 9:11:15,Available,Verified,
West Bengal,Birbhum,37,698,7384197999,Pritam Pami,,5/11/2021 11:26:19,Undetermined,Call not answered,
Karnataka,Bengaluru (Bangalore) Rural,19,282,9312207777,in Badarpur,,"April 25, 2021 7:24 PM",,,Oxygen Cylinders
Maharashtra,Sangli,22,390,9825046073,Madhav Industrial Gases,,"April 25, 2021 7:24 PM",,,Oxygen
West Bengal,South 24 Parganas,37,715,8910069868,no name,,5/10/2021 12:40:34,Available,Verified,
Tamil Nadu,Salem,32,555,9940033333,O2-Matic,,"April 25, 2021 7:24 PM",,,Oxygen
West Bengal,North 24 Parganas,37,711,9800055678,Pharmaco ,7980352250,5/10/2021 10:53:44,Undetermined,Phone Unreachable,
West Bengal,Kolkata,37,707,7890066630,Debayan Ganguly,,"April 24, 2021 1:37 PM",,,Cans
Uttar Pradesh,Kanpur Dehat,35,650,9,"Oxygen can, 10 I can for Rs. 630 - pickup",,"April 25, 2021 7:24 PM",,,Oxygen Cylinders
Rajasthan,Jaipur,30,515,9024330468,Amit O2,,,,Pending ,Cylinder
Maharashtra,Nagpur,22,380,8447390017,Oxygen,,"April 25, 2021 7:24 PM",,,Oxygen
West Bengal,Birbhum,37,698,7001618811,Adrish De ,,5/11/2021 13:02:59,Undetermined,Call not answered,
Tamil Nadu,Chennai,32,538,9688610111,Sri Sharadha Pmesh- wari Gases,,"April 25, 2021 7:24 PM",,,Oxygen
Rajasthan,Jaipur,30,515,9214979302,Kalinga Gases,,,,Pending ,Cylinder
Karnataka,Bengaluru (Bangalore) Urban,19,283,9343565554,Lakshmi Cryogenics Pvt. Ltd,7204342964,44317,,Verified,Cylinder
Rajasthan,Jaipur,30,515,80222628469448470000,Drugs Controller Medical Oxygen War Room,,"April 25, 2021 7:24 PM",,,Oxygen
Karnataka,Bengaluru (Bangalore) Urban,19,283,8867715015,Galaxy Air Products,,,,unreachable,refill
Maharashtra,Mumbai City,22,378,9820144017,RAMESH BHAI,,"April 25, 2021 7:24 PM",,,Oxygen - Refill
Delhi (NCT),New Delhi,12,158,9871067808,Oxygen ,,,,,refill
Rajasthan,Jaipur,30,515,9982839392,Anand Gases,,"April 25, 2021 6:32 PM",,,Cylinder
West Bengal,Kolkata,37,707,7665782835,no name,,5/11/2021 11:31:01,Undetermined,Call not answered,
Karnataka,Bengaluru (Bangalore) Rural,19,282,93245032148108540000,"Alpesh Bhai / Bipin Bhai, Veer Foundation",,"April 25, 2021 7:24 PM",,,Oxygen Cylinders
Madhya Pradesh,Indore,21,332,7879828854,Vishwajeet ,,,,,refill
Bihar,Patna,8,112,9811118567,Durga Agencies,,"April 25, 2021 7:24 PM",,,Oxygen
Rajasthan,Jaipur,30,515,9829060727,Singhal Oxygen,,"April 25, 2021 6:33 PM",,,Cylinder
Uttar Pradesh,Kanpur Dehat,35,650,9769577885,Spec & Cal Gases Pvt Ltd. Contact Person: K Manoharan,,"April 25, 2021 7:24 PM",,,Oxygen
Delhi (NCT),New Delhi,12,158,9097041313,Indirapuram Gurudwara,,,,not verified,
West Bengal,Kolkata,37,707,9831267286,Sagar Oxygen,,"April 24, 2021 2:43 PM",,,Concentrator
Bihar,Patna,8,112,9823088673,Essem Gases Pvt. Ltd.,,"April 25, 2021 7:24 PM",,,Oxygen
Karnataka,Bengaluru (Bangalore) Rural,19,282,9850065707,Nana Gas Industries,,"April 25, 2021 7:24 PM",,,Oxygen
Andhra Pradesh,Anantapur,5,20,9900489790,Peenya Industrial Gases,,"April 25, 2021 7:24 PM",,,Oxygen Cylinders
West Bengal,Purulia,37,714,6289160044,Tushar Awasti,,5/11/2021 11:24:10,Undetermined,Call not answered,
West Bengal,Murshidabad,37,709,9093221441,Khudiram pathagar jayanta das,,5/10/2021 12:40:53,Undetermined,Call not answered,
West Bengal,North 24 Parganas,37,711,9836035945,Uttam,,5/10/2021 10:59:13,Unavailable,Verified,
West Bengal,Birbhum,37,698,7001454530,Tameyo Dey,,5/11/2021 11:26:14,Undetermined,Call not answered,
West Bengal,North 24 Parganas,37,711,8918071202,Sudip,,5/11/2021 11:37:16,Unavailable,Verified,
Maharashtra,Mumbai City,22,378,8861282425,Usuru Foundation,,"April 25, 2021 7:24 PM",,,Oxygen Concentrator/Cylinder
West Bengal,North 24 Parganas,37,711,6289235283,Ritankar das,,5/10/2021 10:54:39,Unavailable,Verified,
West Bengal,Kolkata,37,707,7003425147,Healthy Minds Yoga,,5/11/2021 11:31:20,Available,Verified,
Uttar Pradesh,Meerut,35,663,9844019233,PSB Medicare Systems,,"April 25, 2021 7:24 PM",,,Oxygen Concentrator/Cylinder
Maharashtra,Mumbai City,22,378,9443390259,"Erode Air Products 4 BUNGALOW, 7 BUNGALOW, VERSOVA, YARI ROAD.",,4/27/2021 14:25:00,,Pending,
Gujarat,Vadodara,14,198,9825134840,Oxygen Suppliers Life Line Gases,,4/27/2021 14:25:00,,Pending,
West Bengal,Hooghly,37,703,8420083427,Niramoy Medicine,,5/10/2021 10:42:51,Undetermined,Phone Unreachable,
West Bengal,Kolkata,37,707,9836237754,Sil Pharmacy,,5/11/2021 11:29:56,Undetermined,Phone Unreachable,
Karnataka,Bengaluru (Bangalore) Rural,19,282,98207347867021670000,Sheth Motisha Jain Sangh,,"April 25, 2021 7:24 PM",,,Oxygen - Refill
West Bengal,North 24 Parganas,37,711,9836958081,Arghya Das,,5/10/2021 11:10:20,Undetermined,Phone Unreachable,
West Bengal,North 24 Parganas,37,711,9883272704,Punit Jain,,5/11/2021 11:30:23,Unavailable,Verified,
West Bengal,South 24 Parganas,37,715,8910898785,no name,,5/10/2021 11:03:29,Undetermined,Phone Unreachable,
West Bengal,North 24 Parganas,37,711,9831105603,Milk Colony,,5/11/2021 11:38:45,Undetermined,Call not answered,
West Bengal,North 24 Parganas,37,711,7384073807,Ansar Medishopi,,4/27/2021 14:25:00,,Pending,
Delhi (NCT),New Delhi,12,158,8860202473,oxygen,,,18l can,,cylinder
Gujarat,Surat,14,200,94488213478867710000,Galaxy Air Products,,"April 25, 2021 7:24 PM",,,Oxygen Cylinders For Home Use
Jammu & Kashmir (UT),Jammu,17,241,9821106357,"Shree Sambhavnathji Jain Derasar, Boriwali West RSS Gases",,4/27/2021 14:25:00,,Pending,
Karnataka,Bengaluru (Bangalore) Urban,19,283,9860399529,Sadharam gas ,,4/27/2021 14:25:00,,Pending,
West Bengal,North 24 Parganas,37,711,9433782958,srijana majumdar,,5/10/2021 10:54:53,Unavailable,Verified,
West Bengal,North 24 Parganas,37,711,8777027437,Volunteer,,5/10/2021 22:26:37,Available,Verified,
Gujarat,Vadodara,14,198,9999829226,Aditya Gases Aims Oxygen Pvt. Ltd.,,4/27/2021 14:25:00,,Pending,
Maharashtra,Mumbai City,22,378,9849129996,Vingas Industries Pvt. Ltd.,,"April 25, 2021 7:24 PM",,,Oxygen
West Bengal,Kolkata,37,707,8420004004,Sujataa Dutta,,5/11/2021 11:29:05,Undetermined,Phone Unreachable,
West Bengal,Kolkata,37,707,6290062623,Not known,,5/10/2021 11:10:43,Undetermined,Call not answered,
West Bengal,Birbhum,37,698,7584850123,Madrasapalli,,5/11/2021 11:26:55,Available,Verified,
Maharashtra,Nagpur,22,380,8923335227,Radhika air product,,"April 25, 2021 7:24 PM",,,Oxygen
West Bengal,Kolkata,37,707,8961972733,no name,,5/10/2021 11:11:23,Available,Verified,
Delhi (NCT),New Delhi,12,158,011 41400400,Oxygen Control Room,,,,verified,refill & cylinder
West Bengal,North 24 Parganas,37,711,9734983811,Not Known,,5/10/2021 10:59:52,Available,Verified,
Karnataka,Hassan,19,293,7005215426,[Requested],,"April 25, 2021 7:24 PM",,,Oxygen
Karnataka,Bengaluru (Bangalore) Rural,19,282,9412248290,Kalinga Gases,,"April 25, 2021 7:24 PM",,,Oxygen
West Bengal,North 24 Parganas,37,711,9830680887,"Kuber SIngh Rawat (Near Borokacchari Temple, Dumdum)",,5/11/2021 11:35:05,Undetermined,Phone Unreachable,
West Bengal,Howrah,37,704,9804148878,Not known,,5/10/2021 10:45:00,Unavailable,Verified,
West Bengal,Paschim Medinipur (West Medinipur),37,712,03222253648,no name,,5/10/2021 12:35:27,Available,Verified,
Maharashtra,Mumbai City,22,378,9867887866,Madinatul Islamia Welfare & Educational Trust,,"April 25, 2021 7:24 PM",,,Oxygen Cylinders
Maharashtra,Thane,22,394,9885378287,Murali Krishna Nameless,,4/27/2021 14:25:00,,Pending,
Maharashtra,Satara,22,391,6353382380,Ketan Bharat Distributers,,5/1/2021 21:27:03,,Pending,
West Bengal,Kolkata,37,707,9089085252,Tablet Pharmacy,,5/11/2021 11:29:22,Available,Verified,
Uttar Pradesh,Kanpur Dehat,35,650,9419187356,Raj Gas,,"April 25, 2021 7:24 PM",,,Oxygen Cylinders For Home Use
Gujarat,Surat,14,200,9600566575,Anthony (VCare) Agrawal Samaj Health Centre-Free Oxygen,8072300000,4/27/2021 14:25:00,,Pending,
West Bengal,Kolkata,37,707,9064464248,Name Unknown,,5/11/2021 11:31:59,Undetermined,Call not answered,
West Bengal,North 24 Parganas,37,711,9433727576,Bimal,,5/10/2021 10:53:56,Undetermined,Phone Unreachable,
West Bengal,North 24 Parganas,37,711,9007427926,Aryan Oxygen Services,9748613508,5/10/2021 10:54:05,Undetermined,Phone Unreachable,
Uttar Pradesh,Agra,35,608,9897487555,Advance gases and chemicals,,"April 25, 2021 7:24 PM",,,Oxygen
Karnataka,Bengaluru (Bangalore) Rural,19,282,97643779999225580000,Sagar Gases Pvt. Ltd.,,"April 25, 2021 7:24 PM",,,Oxygen
Delhi (NCT),New Delhi,12,158,9811623860,Oxygen ,,,,,refill & cylinder
Karnataka,Bengaluru (Bangalore) Rural,19,282,8960002222,12 ltr cans (300 pumps) Only for paitents whos SpO2 level is below 85. Rs. 400/can,,"April 25, 2021 7:24 PM",,,Oxygen Cylinders
West Bengal,South 24 Parganas,37,715,9903323331,Nikita dhawan,,5/10/2021 11:01:54,Undetermined,Phone Unreachable,
West Bengal,Kolkata,37,707,9830048199,no name,,5/10/2021 10:52:18,Unavailable,Verified,
West Bengal,Hooghly,37,703,9123096167,no name,,5/9/2021 10:54:22,Available,Verified,
West Bengal,North 24 Parganas,37,711,9734631079,Sudip ,,5/10/2021 10:55:19,Undetermined,Invalid number,
Karnataka,Bengaluru (Bangalore) Rural,19,282,9837100445,BABA gases,,"April 25, 2021 7:24 PM",,,Oxygen
Uttar Pradesh,Bareilly,35,622,9219274797,Agra Medical Gases,,"April 25, 2021 7:24 PM",,,Oxygen
Uttar Pradesh,Lucknow,35,657,9334486903,Ramesh Mahajan,,"April 25, 2021 7:24 PM",,,Oxygen
Maharashtra,Nashik,22,383,8108001855,"LOKHANOWALA, OSHIWARA, S V ROAD, JOGESHWARI Sunny Industrial SalesPvt. Ltd.",,4/27/2021 14:25:00,,Pending,
West Bengal,Purba Medinipur (East Medinipur),37,713,9734534943,Subhon kumar Jana,,5/10/2021 22:17:42,Available,Verified,
Rajasthan,Jaipur,30,515,9001091768,Jaipur Oxygen ,,1/5/2021 19:00:00,,Verified,Cylinder
Chhattisgarh,Raipur,10,148,7000162813,Diler singh,,,,,concentrator
Rajasthan,Jodhpur,30,520,9415040705,Murari Industrial Gases,,"April 25, 2021 7:24 PM",,,Oxygen
Karnataka,Bengaluru (Bangalore) Urban,19,283,9900645566,SLV Industrial Gases,,44321,,Verified,Cylinder
Maharashtra,Mumbai City,22,378,9824038152,Madhuraj Industrial Gases Pvt. Ltd.,,"April 25, 2021 7:24 PM",,,Oxygen
Karnataka,Bengaluru (Bangalore) Urban,19,283,9986864485,Manu Lifeline,,44317,,verified,Cylinder
West Bengal,North 24 Parganas,37,711,7003656667,Unknown,,5/10/2021 11:00:40,Unavailable,Verified,
West Bengal,North 24 Parganas,37,711,9830179101,Basab Basak,,5/11/2021 11:30:15,Unavailable,Verified,
West Bengal,Kolkata,37,707,9748683892,Sayani,,5/10/2021 11:09:12,Available,Verified,
West Bengal,Kolkata,37,707,9830023540,Anjan Prasand Majumder,,5/10/2021 22:29:08,Available,Verified,
West Bengal,North 24 Parganas,37,711,6289867552,Arijit Mukherjee,,5/9/2021 13:45:18,Undetermined,Phone Unreachable,
Tamil Nadu,Coimbatore,32,539,8047007267,"Medhire, Anita",,"April 25, 2021 7:24 PM",,,Oxygen Cylinders
West Bengal,Howrah,37,704,9748683892,Sayani Bhattacharya,,5/10/2021 10:44:11,Available,Verified,
Karnataka,Bengaluru (Bangalore) Rural,19,282,9033884450,Zubin Ashara,,"April 25, 2021 7:24 PM",,,Oxygen
Karnataka,Bengaluru (Bangalore) Urban,19,283,9900489790,Yetheesh Manjunath,,,,verified,Cylinder
West Bengal,North 24 Parganas,37,711,9830126245,Himanshu Gorai,,5/11/2021 11:38:16,Undetermined,Call not answered,
Maharashtra,Nagpur,22,380,9334206111,Oxygen Bank,,"April 25, 2021 7:24 PM",,,Oxygen
West Bengal,Hooghly,37,703,8337073311,Bala Kaku Gas,,5/10/2021 10:42:59,Undetermined,Phone Unreachable,
Karnataka,Bengaluru (Bangalore) Urban,19,283,9900562307,Universal Air Products,,44321,,Verified,Cylinder
West Bengal,South 24 Parganas,37,715,9433484556,Unknown,,5/10/2021 22:15:54,Available,Verified,
Maharashtra,Jalgaon,22,374,7678645199,Vijay Sharma,,"April 25, 2021 7:24 PM",,,Oxygen
Karnataka,Belagavi (Belgaum),19,281,9829066757,Shree Hari Gases Pvt. Ltd.,,"April 25, 2021 7:24 PM",,,Oxygen
Maharashtra,Ahmednagar,22,362,9412301918,Maa Vaishno devi,,"April 25, 2021 7:24 PM",,,Oxygen
Maharashtra,Mumbai City,22,378,8115171287,Sandeep,,"April 25, 2021 7:24 PM",,,Oxygen
Karnataka,Koppal,19,298,9844053348,Belgaum Oxygen Pvt. Ltd.,,44317,,Verified,Cylinder
Uttar Pradesh,Allahabad,35,610,9920424870,Nameless,,"April 25, 2021 7:24 PM",,,Oxygen - Spray Bottle
Maharashtra,Ahmednagar,22,362,9839920462,Annapoorna industrial gases,,"April 25, 2021 7:24 PM",,,Oxygen
West Bengal,Kolkata,37,707,7003656667,Not available,,5/11/2021 11:28:44,Available,Verified,
Tamil Nadu,Chennai,32,538,9947280695,Nandanam Oxygen,,"April 25, 2021 7:24 PM",,,Oxygen
Karnataka,Bengaluru (Bangalore) Rural,19,282,7379854888,Sarang Gas Refill,,"April 25, 2021 7:24 PM",,,Oxygen
West Bengal,Howrah,37,704,9748774955,Not known,,5/10/2021 10:44:43,Available,Verified,
Karnataka,Bengaluru (Bangalore) Urban,19,283,91 98442 76111,Ramesh Manoj Oxygen Concentrators Supplier,,44317,,Verified,Concentrator
Delhi (NCT),New Delhi,12,158,1123737329,Gurudwara Sri Guru Singh Sabha,,,Oxygen Langar,3rd_party_verified,
Karnataka,Bengaluru (Bangalore) Rural,19,282,990995959,Oxygen Suppliers,,"April 25, 2021 7:24 PM",,,Oxygen
West Bengal,Hooghly,37,703,9903902547,Lion's club,,5/10/2021 10:43:11,Available,Verified,
West Bengal,Purulia,37,714,8391058036,Biman Goswami ,,5/11/2021 13:15:12,Undetermined,Call not answered,
Chandigarh (UT),Chandigarh,9,125,9815648013,Subhash Suri Chandigarh Gases,,,,verified,refill & cylinder
Karnataka,Bengaluru (Bangalore) Rural,19,282,8025483641,Naasih Educational Trust & Jamiat Ulama,,"April 25, 2021 7:24 PM",,,Oxygen Cylinders
Karnataka,Bengaluru (Bangalore) Rural,19,282,9998970049,Nameless,,"April 25, 2021 7:24 PM",,,Oxygen
West Bengal,Howrah,37,704,7980535835,no name,,5/10/2021 10:45:04,Available,Verified,
West Bengal,Kolkata,37,707,9830056776,UnoSupply,,5/11/2021 11:28:36,Undetermined,Phone Unreachable,
West Bengal,South 24 Parganas,37,715,7980661249,no name,,5/10/2021 11:03:36,Available,Verified,
Uttar Pradesh,Lucknow,35,657,8707347003,Vishwaguru Foundation Trust,,,,unreachable,cylinder
Karnataka,Bengaluru (Bangalore) Rural,19,282,9845063166,-,,"April 25, 2021 7:24 PM",,,Oxygen
West Bengal,Kolkata,37,707,9674508854,KSS Oxygen Services,,5/11/2021 11:28:55,Undetermined,Call not answered,
West Bengal,Kolkata,37,707,9831919933,Obo swift,,5/10/2021 10:49:16,Undetermined,Call not answered,
Karnataka,Bengaluru (Bangalore) Rural,19,282,9962522823,Michael (Area Manager at Philips),,"April 25, 2021 7:24 PM",,,Oxygen
Karnataka,Bengaluru (Bangalore) Rural,19,282,9442574805,Arasan Gas,,"April 25, 2021 7:24 PM",,,Oxygen Cylinders For Home Use
West Bengal,Kolkata,37,707,8697471310,Murari,,5/11/2021 11:30:05,Undetermined,Call not answered,
West Bengal,Kolkata,37,707,9051653106,no name,,5/11/2021 11:31:49,Available,Verified,
West Bengal,Kolkata,37,707,7987607271,oxygen,,,5 litre ,,concentrator
Karnataka,Hassan,19,293,9844075640,Lakshmi Gas,,44317,,Verified,Cylinder
Karnataka,Bengaluru (Bangalore) Rural,19,282,9910326741,OXYGEN,,"April 25, 2021 7:24 PM",,,Oxygen
Karnataka,Bengaluru (Bangalore) Rural,19,282,9837781870,Bajrang Gases,,"April 25, 2021 7:24 PM",,,Oxygen
West Bengal,Kolkata,37,707,7605050279,no name,,5/10/2021 10:49:32,Undetermined,Phone Unreachable,
Haryana,Gurgaon,15,206,9319101930,oxygen,,,,,refill
Karnataka,Bengaluru (Bangalore) Rural,19,282,9447250345,Manoj,,"April 25, 2021 7:24 PM",,,Oxygen
West Bengal,North 24 Parganas,37,711,9830148536,Mahandra Chourasiya & Amit Chourasiya ,9038557225,5/10/2021 10:54:17,Unavailable,Verified,
Karnataka,Belagavi (Belgaum),19,281,9449829060,Gadag Oxygen,,44317,,Verified,Cylinder
Karnataka,Bengaluru (Bangalore) Urban,19,283,9829057251,Wilson Air Products Ramesh,,4/27/2021 14:25:00,,Pending,
Karnataka,Bengaluru (Bangalore) Rural,19,282,93947770709399910000,Coromandal Gas Company,,"April 25, 2021 7:24 PM",,,Oxygen
West Bengal,North 24 Parganas,37,711,9433119656,Moutushi Dutta,,5/10/2021 10:54:24,Undetermined,Phone Unreachable,
West Bengal,Kolkata,37,707,916290182746,no name,,5/10/2021 10:52:41,Available,Verified,
Karnataka,Bengaluru (Bangalore) Rural,19,282,8045384408,DC Ranganathan agency,,"April 25, 2021 7:24 PM",,,Oxygen Cylinders For Home Use
Tamil Nadu,Chennai,32,538,9686524247,Mamoor Oxygen,,"April 25, 2021 7:24 PM",,,Oxygen
Assam,Sivasagar,7,81,77039401319873820000,STAR Special Gases IMT Manesar,,"April 25, 2021 7:24 PM",,,Oxygen - Refill
West Bengal,North 24 Parganas,37,711,7003317392,Not available,,5/11/2021 11:32:17,Undetermined,Phone Unreachable,
Telangana,Hyderabad,33,571,9.82106E+19,"Ashok Gram Temple Trust,, MANISH BHAI, HIMANSHU BHAI",,"April 25, 2021 7:24 PM",,,Oxygen - Refill
West Bengal,North 24 Parganas,37,711,7439174645,Soumyadip,,5/11/2021 11:34:54,Undetermined,Phone Unreachable,
Karnataka,Bengaluru (Bangalore) Rural,19,282,9140301978,Baba oxygen,,"April 25, 2021 7:24 PM",,,Oxygen
Bihar,Patna,8,112,7209779400,Oxygen,,,50L,,cylinder
Maharashtra,Beed,22,366,8879195251,NGO,,"April 25, 2021 7:24 PM",,,Oxygen
Madhya Pradesh,Indore,21,332,9755684442,Azeem Bilal,,"April 25, 2021 5:42 PM",Available,,"Cylinder, Refil"
West Bengal,Kolkata,37,707,9874843794,Niladri oxygen,,5/10/2021 10:49:34,Undetermined,Phone Unreachable,
Telangana,Hyderabad,33,571,9987005090,Ellenbarrie Industrial Gases Ltd.,040 6677 7250,,,3rd_party_verified,refill & cylinder
Uttar Pradesh,Kanpur Dehat,35,650,9313784962,Deepak,,"April 25, 2021 7:24 PM",,,Oxygen
Tamil Nadu,Krishnagiri,32,547,9039960599,Oxygen Refill,,"April 25, 2021 7:24 PM",,,Oxygen - Refill
West Bengal,Kolkata,37,707,6290985137,Nilakshi Das,,5/11/2021 11:32:10,Undetermined,Call not answered,
Bihar,Patna,8,112,9313808905,Sunil Patel Ajay Tiwari,,4/27/2021 14:25:00,,Pending,
West Bengal,North 24 Parganas,37,711,9775232359,Disha medical ,,5/11/2021 11:37:16,Unavailable,Verified,
Karnataka,Bengaluru (Bangalore) Urban,19,283,9769577885,Spec & Cal Gases Pvt Ltd,,6th May. 1:28 PM,,verified,Cylinder
West Bengal,Kolkata,37,707,7890629585,Molina shikdal,,5/11/2021 11:34:54,Available,Verified,
Uttar Pradesh,Moradabad,35,665,9214173658,Ajmer Gases,,"April 25, 2021 7:24 PM",,,Oxygen
West Bengal,North 24 Parganas,37,711,9733812238,Trilaya medical (mrinal kanti paul),,5/11/2021 11:37:20,Undetermined,Phone Unreachable,
West Bengal,South 24 Parganas,37,715,9883214778,Subrata saha,,5/10/2021 11:03:19,Undetermined,Call not answered,
West Bengal,South 24 Parganas,37,715,9748683692,no name,,5/10/2021 11:03:25,Undetermined,Invalid number,
West Bengal,Murshidabad,37,709,7548000177,OPD,,5/11/2021 11:56:11,Undetermined,Call not answered,
West Bengal,Murshidabad,37,709,9434101716,Kausar alam,,5/11/2021 12:39:34,Undetermined,Verified,
West Bengal,Murshidabad,37,709,9153020607,Not known,,5/11/2021 12:39:45,Undetermined,Not Verified,
West Bengal,North 24 Parganas,37,711,9332218255,Pradip pal,,5/11/2021 11:37:16,Undetermined,Phone Unreachable,
