state,district,state_id,district_id,data_name,external_id,data_id,category,phone_1,is_duplicate,downvotes,upvotes,created_job,email,price,title,address,comment,deleted,phone_2,pincode,latitude,longitude,created_by,created_on,Assigned_to,description,source_link,verified_by,resource_type,last_verified_on,quantity_available,verification_status,resource_type_1,city,pin_code,hospital_available_icu_beds,hospital_available_normal_beds,hospital_available_oxygen_beds,hospital_available_ventilator_beds,oxygen_supplier_willing_to_join_WhatsAppBot,Details,Other_comments,resource_type_2,Sales_Renta_Charity,Status,last_verified,Row_ID,Selected_By_User,Verification_Image
Telangana,Hyderabad,33,571,Care,13d2644b-3a18-48c5-8d4b-418a1f7cd460,777,oxygen,9967792526,False,0,0,1,,,Nameless,Faaz Oxygen,Bogus Numbers,False,,,,,,,,,https://twitter.com/intent/tweet?url=https%3A%2F%2Findiacovidresources.in%2F&text=,,,"April 25, 2021 7:24 PM",,,Oxygen Cylinders,,,,,,,,,,,,,,,,
Karnataka,Bengaluru (Bangalore) Urban,19,283,oxygenblr.in,02b1c89c-95cf-43c0-bba4-502a7f13622e,117,oxygen,9886444009,False,0,0,14,,,Dhuni G Oxygen concentrator,,No stock,False,,,,,Covid Directory,44323,,,,Arun Padki,,44317,,Verified,Concentrator,Bengaluru,,,,,,,"Capacity - 5lt & 10lt, Nasal pipe -No, Can deliver anywhere in the city",Our new batch of concentrators are coming on 12 th May and it's all for purchase,,Sale and Rental,,,,,
West Bengal,Howrah,37,704,West Bengal COVID Aid Network,ca4d47d0-a994-4a23-857c-f6e2ad7fd096,247,oxygen,7557077073,False,0,0,16,,,Subhadip,Uluberia,Refilling available,False,,,,,,,,,https://wbcan.org/,,,5/10/2021 10:44:25,Available,Verified,,,,,,,,,,,,,,,,,
Telangana,Hyderabad,33,571,Care,99c4cd25-2466-4d63-a726-04e3a0c081d2,769,oxygen,8978187814,False,0,0,1,,,MD Shaifuddin Oxygen,Baba Gas Oxygen,Not Verified,False,,,,,,,,,https://twitter.com/intent/tweet?url=https%3A%2F%2Findiacovidresources.in%2F&text=,,,"April 25, 2021 7:24 PM",,,Oxygen,,,,,,,,,,,,,,,,
Karnataka,Bengaluru (Bangalore) Rural,19,282,Care,e187549c-c091-48c9-99fd-1d2370c3865d,1005,oxygen,7985096433,False,0,0,1,,,Oxygen,Jamiat Ulama,Unreachable,False,,,,,,,,Bismillah Nagar,,,,"April 25, 2021 7:24 PM",,,Oxygen,,,,,,,,,,,,,,,,
Maharashtra,Mumbai City,22,378,Care,c5ba2f3b-b195-45de-bc39-3fdd8158f489,533,oxygen,9925110148,False,0,0,1,"Oxygen out of stock, will be replinshed 26/04/2021",,Aims Oxygen Pvt. Ltd.,Bhavesh Bhai,Unavailable Stock,False,,,,,,,,Verified Kolaba,https://twitter.com/intent/tweet?url=https%3A%2F%2Findiacovidresources.in%2F&text=,,,"April 25, 2021 7:24 PM",,,Oxygen,,,,,,,,,,,,,,,,
Madhya Pradesh,Bhopal,21,319,Care,4f5acd63-be93-4324-b5a4-46d17ba1c530,927,oxygen,9496824218,False,0,0,1,Rents out oyxgen concentrator,,Vigneswara Oxygen,Vedant Bhatt,Available,False,,,,,,,,,https://twitter.com/intent/tweet?url=https%3A%2F%2Findiacovidresources.in%2F&text=,,,"April 25, 2021 7:24 PM",,,Oxygen,,,,,,,,,,,,,,,,
Haryana,Panipat,15,217,Care,a7d5c989-055a-487d-a523-e2a1d7fa53ff,425,oxygen,9511834895,False,0,0,1,,,Nameless,Aditya Gases,Unreachable,False,,,,,,,,,https://twitter.com/intent/tweet?url=https%3A%2F%2Findiacovidresources.in%2F&text=,,,"April 25, 2021 7:24 PM",,,Oxygen,,,,,,,,,,,,,,,,
Karnataka,Bengaluru (Bangalore) Urban,19,283,oxygenblr.in,bd7307bc-8fc1-4304-91fc-21db5f100bd4,45,oxygen,9341045631,False,0,0,14,,,Siga Gases India (P) Ltd,"No.60c, Bommasandra Industrial Area, Bommasandra, Karnataka",Switched off,False,,560099,,,oxygenblr.in,44361,,,,AVINASH A MANOLI,,6th May. 1:24 PM,,verified,Cylinder,Bengaluru,,,,,,,,,,,,,,,
Bihar,Patna,8,112,CW Volunteers,0ed36695-d21f-455b-bdb2-f419b5cb4816,42,oxygen,8789410839,False,0,0,11,,minimal cost,Oxygen,Usha Air Products,,False,,,,,cw12,01.05.2021,,for all,,,,,as per required,,refill,,,,,,,,,,,,,,,,
Rajasthan,Jaipur,30,515,﻿COVID-19 Resource Leads for COVIDFYI  | Oxygen,07d77f66-234d-4336-b328-c002aa743eca,374,oxygen,8068442245,False,0,0,12,,,Sareen Surgicals Suppliers,Jaipur,Oxygen not available as of 11/05,False,0141 4006360,,,,Gopal,05/09/2021,,,,,,,,verified,refill,Jaipur,,,,,,,,,,,,,,,
Maharashtra,Latur,22,377,Care,acf02bbd-b3c6-4983-973b-8b1dac574f82,646,oxygen,98209840409820640000,False,0,0,1,,,"NILESH BHAI, PARESH BHAI",Nana Gas Industries,Not Verified,False,,,,,,,,,https://twitter.com/intent/tweet?url=https%3A%2F%2Findiacovidresources.in%2F&text=,,,"April 25, 2021 7:24 PM",,,Oxygen - Refill,,,,,,,,,,,,,,,,
Uttarakhand,Dehradun,36,687,CW Volunteers,1968d011-bceb-4002-ae2f-07c7481b694c,32,oxygen,9639271771,False,0,0,11,,,Hem pandey,,,False,,,,,cw22,30.04.2021,,"verified leads for oxygen, plasma, food, hospitals and anything covid related ",,,,,,,oxygen bed,,,,,,,,,,,,,,,,
West Bengal,Kolkata,37,707,West Bengal COVID Aid Network,6ce0a847-16bb-4c41-a8a0-bab97c73b7a6,410,oxygen,9830083350,False,0,0,16,,,no name,Jadavpur,,False,,,,,,,,,https://wbcan.org/,,,5/10/2021 11:08:24,Undetermined,Phone Unreachable,,,,,,,,,,,,,,,,,
Karnataka,Bengaluru (Bangalore) Rural,19,282,Care,fcfb6c2c-4379-4060-9485-4bf6b34d54a5,984,oxygen,9829057251,False,0,0,1,,,Wilson Air Products,Ramesh,Third Party Verified,False,,,,,,,,,https://twitter.com/intent/tweet?url=https%3A%2F%2Findiacovidresources.in%2F&text=,,,"April 25, 2021 7:24 PM",,,Oxygen,,,,,,,,,,,,,,,,
Uttar Pradesh,Allahabad,35,610,Care,e065af5e-c9ff-4cdf-becb-d32377d98a90,1051,oxygen,9892356727,False,0,0,1,,,Manoj,,Third Party Verified,False,,,,,,,,,,,,"April 25, 2021 7:24 PM",,,Oxygen,,,,,,,,,,,,,,,,
Bihar,East Champaran (Motihari),8,96,﻿COVID-19 Resource Leads for COVIDFYI  | Oxygen,4cd484ca-3743-4a56-a143-8e63822fac48,509,oxygen,1234567890,False,0,0,12,,,Oxygen - East Champaran,,,False,,,,,Gopal,05/11/2021,,Refer source link for covid Oxygen availability,https://docs.google.com/spreadsheets/d/1foeKIDRi_U6VTsyv1s_Hi3-5dWbQfIBrARgjeQDgwaU/edit?usp=sharing,,,,,3rd_party_verified,refill,East Champaran,,,,,,,,,,,,,,,
West Bengal,North 24 Parganas,37,711,West Bengal COVID Aid Network,ad15cc9a-946c-4ce7-a2e5-af054446cc5e,333,oxygen,6290490078,False,0,0,16,,,no name,Shyamnagar,Refilling ,False,,,,,,,,,https://wbcan.org/,,,5/10/2021 10:59:23,Will be available soon,Verified,,,,,,,,,,,,,,,,,
Karnataka,Bengaluru (Bangalore) Rural,19,282,Care,cacc3b63-ece1-449d-92b5-f68c2d69de86,1025,oxygen,9320032333,False,0,0,1,,,Nameless,,Unreachable,False,,,,,,,,,,,,"April 25, 2021 7:24 PM",,,Oxygen,,,,,,,,,,,,,,,,
Delhi (NCT),New Delhi,12,158,﻿COVID-19 Resource Leads for COVIDFYI Oxygen,d2317477-e4ac-4309-b227-b9c1b854ecd0,343,oxygen,9810497171,False,0,0,12,,,National Air Products,"A-/250, Amrit Nagar, Bulandshahr Road Industrial Area, Ghaziabad, Uttar Pradesh 201009",,False,011 22130626,,,,Gopal,05/07/2021,,Contact : Ashok Agrawal,https://aiigma.org/,,,,,3rd_party_verified,refill,Delhi,,,,,,,,,,,,,,,
Karnataka,Belagavi (Belgaum),19,281,Care,63414e0d-5154-4eea-85c1-ec916456080c,1027,oxygen,9922443055,False,0,0,1,Only in Bijapur,,Rukmani Metals and Gases India (I LTD.),Kulkarni Oxygen,Bogus Numbers,False,,,,,,,,,https://twitter.com/intent/tweet?url=https%3A%2F%2Findiacovidresources.in%2F&text=,,,"April 25, 2021 7:24 PM",,,Oxygen,,,,,,,,,,,,,,,,
Uttar Pradesh,Kanpur Dehat,35,650,Care,20351e15-1531-4ea1-ab1a-7c5cbdba0f8a,696,oxygen,7905081817,False,0,0,1,,,Oxygen,Murari Industrial Gases,Unreachable,False,,,,,,,,,https://twitter.com/intent/tweet?url=https%3A%2F%2Findiacovidresources.in%2F&text=,,,"April 25, 2021 7:24 PM",,,Oxygen,,,,,,,,,,,,,,,,
Madhya Pradesh,Indore,21,332,Care,f6a58547-5f1a-416a-b809-d75deb0f3ba6,740,oxygen,98202910889773610000,False,0,0,1,,,"SANJAY BHAI, PRITESH BHAI",Gagandeep,Unreachable,False,,,,,,,,,https://twitter.com/intent/tweet?url=https%3A%2F%2Findiacovidresources.in%2F&text=,,,"April 25, 2021 7:24 PM",,,Oxygen - Refill,,,,,,,,,,,,,,,,
Karnataka,Bengaluru (Bangalore) Rural,19,282,Care,3c447dc5-2726-46b3-b5d5-fc2c969e27a4,944,oxygen,9820413439,False,0,0,1,They're not expecting to restock for another fortnight or so. Hopefully they will contact a member from Saranya's team if they receive stock-- per disussion.,,Gowaliya Tank,"Medhire, Anita",Unavailable Stock,False,,,,,,,,Nandini Layout,https://twitter.com/intent/tweet?url=https%3A%2F%2Findiacovidresources.in%2F&text=,,,"April 25, 2021 7:24 PM",,,Oxygen Cylinders,,,,,,,,,,,,,,,,
West Bengal,Purulia,37,714,West Bengal COVID Aid Network,de22a621-eaee-4e55-9ab5-51bd340fd7b3,379,oxygen,9434030287,False,0,0,16,,,Shakti Sangha,Purulia,you have to register there for future availability,False,,,,,,,,,https://wbcan.org/,,,5/11/2021 12:45:30,Undetermined,Call not answered,,,,,,,,,,,,,,,,,
Delhi (NCT),New Delhi,12,158,CW Volunteers,9dd5e313-474f-475b-a103-b562f4e31e53,48,oxygen,9013809829,False,0,0,11,,not specified,Oxygen,ram gas agency gali no. 2 delhi,,False,,,,,cw6,02.05.2021,,for all,,,,,as per required,,refill,,,,,,,,,,,,,,,,
Karnataka,Bengaluru (Bangalore) Rural,19,282,Care,aa33bc7c-e1ee-47ed-98f3-4dea4da12ddd,964,oxygen,9860399529,False,0,0,1,,,Sadharam gas,,Bogus Numbers,False,,,,,,,,,,,,"April 25, 2021 7:24 PM",,,Oxygen,,,,,,,,,,,,,,,,
Kerala,Kozhikode,1,11,Care,4b16bcd2-d8a4-44db-b27c-a802e70333ab,650,oxygen,9608791349,False,0,0,1,,,Gangotri,Das Air Product,Available,False,,,,,,,,,https://twitter.com/intent/tweet?url=https%3A%2F%2Findiacovidresources.in%2F&text=,,,"April 25, 2021 7:24 PM",,,Oxygen,,,,,,,,,,,,,,,,
Delhi (NCT),Central Delhi,12,156,Care,8122d234-5e11-4436-b318-47410df34efd,825,oxygen,9999777754,False,0,0,1,,,Shivangi - Max homecare,Max homecare,,False,,,,,,4/25/2021 11:53 PM,,Home care,,,,"April 25, 2021 11:53 PM",Available,,,,,,,,,,,,,,,,,,
West Bengal,Kolkata,37,707,West Bengal COVID Aid Network,5d73af46-0bd9-4f5c-a258-09aea6999c5b,428,oxygen,9007909784,False,0,0,16,,,Not Known,Kolkata,,False,9674044720,,,,,,,,https://wbcan.org/,,,5/10/2021 11:11:03,Undetermined,Call not answered,,,,,,,,,,,,,,,,,
Karnataka,Bengaluru (Bangalore) Urban,19,283,COVID-19 Resource Leads for COVIDFYI Oxygen,4453de87-2bab-4a8f-81af-38b4e032658b,358,oxygen,7760976505,False,0,0,12,,,Bhuruka Gases,"Whitefield, Bengaluru",,False,,,,,Gopal,05/09/2021,,Cont.: Sashidharan,https://aiigma.org/,,,,,unreachable,refill,Bangalore,,,,,,,,,,,,,,,
West Bengal,Purulia,37,714,West Bengal COVID Aid Network,a475d5cb-9143-4ac2-8858-8d3d7317626b,426,oxygen,917547999886,False,0,0,16,,,no name,,,False,,,,,,,,,https://wbcan.org/,,,5/10/2021 11:10:50,Unavailable,Verified,,,,,,,,,,,,,,,,,
Rajasthan,Jaipur,30,515,Hotstar Jaipur,88fb1348-09da-456f-9e7d-2cae5a6b9ebb,25,oxygen,9660752836,False,0,0,10,,,Dr Roshan,,Unavailable on 1st May ,False,,,,,,01/05/2021 18:00,,,,,,,,Pending ,Oxygen Bed,Jaipur,,,,,,,,,,,,,,,
Uttar Pradesh,Noida,35,637,Care,0e3ae975-eead-4b02-98e3-027dca82865c,439,oxygen,9711619959,False,0,0,1,,,Adarsh,,,False,,,,,,,,,,,,"April 24, 2021 3:37 PM",Available,,Refil,,,,,,,,,,,,,,,,
Maharashtra,Mumbai City,22,378,Care,62e3f6d3-a62d-4341-8197-dee131983b7b,527,oxygen,9825027749,False,0,0,1,"No supply, but this a charity service and they supply for their area of malabar hill and breach candy area",,Urmi Oxygen,Adi Pia Enterprises,Unavailable Stock,False,,,,,,,,Verified for Walkeshwar,https://twitter.com/intent/tweet?url=https%3A%2F%2Findiacovidresources.in%2F&text=,,,"April 25, 2021 7:24 PM",,,Oxygen,,,,,,,,,,,,,,,,
Karnataka,Bengaluru (Bangalore) Rural,19,282,Care,90032675-488b-4941-9e50-a0a3480c9ed8,958,oxygen,9.81415E+19,False,0,0,1,Call in 2 days to check again,,Jan Sewa,Maruthi Medical,Unavailable Stock,False,,,,,,,,"Near Vijaynagar, metro station",https://twitter.com/intent/tweet?url=https%3A%2F%2Findiacovidresources.in%2F&text=,,,"April 25, 2021 7:24 PM",,,Oxygen Cylinders,,,,,,,,,,,,,,,,
Karnataka,Bengaluru (Bangalore) Rural,19,282,Care,18adaae9-4154-40d1-ab35-502602404532,955,oxygen,8082382468,False,0,0,1,,,No Name,Allcare Medical systems,Unavailable Stock,False,,,,,,,,"HT Line road, Sir M V Nagar, Ramamurthy Nagar",https://twitter.com/intent/tweet?url=https%3A%2F%2Findiacovidresources.in%2F&text=,,,"April 25, 2021 7:24 PM",,,Oxygen,,,,,,,,,,,,,,,,
Tamil Nadu,Coimbatore,32,539,Care,3c425f13-750a-459a-9c32-4cfe4c656581,903,oxygen,9100100009,False,0,0,1,Contact: Dileepan,,Oxygen Concentration (no other name given),Covai Air Products,Unreachable,False,,,,,,,,,https://twitter.com/intent/tweet?url=https%3A%2F%2Findiacovidresources.in%2F&text=,,,"April 25, 2021 7:24 PM",,,Oxygen,,,,,,,,,,,,,,,,
Bihar,Bhojpur,8,93,COVID-19 Resource Leads for COVIDFYI Oxygen,fee49290-d191-487e-b044-ec88d105389c,507,oxygen,1234567890,False,0,0,12,,,Oxygen - Bhojpur,,,False,,,,,Gopal,05/11/2021,,Refer source link for covid Oxygen availability,https://docs.google.com/spreadsheets/d/1foeKIDRi_U6VTsyv1s_Hi3-5dWbQfIBrARgjeQDgwaU/edit?usp=sharing,,,,,3rd_party_verified,refill,Bhojpur,,,,,,,,,,,,,,,
West Bengal,South 24 Parganas,37,715,West Bengal COVID Aid Network,1a377d59-cbec-4c76-8625-e833cb2b7f14,352,oxygen,9830083350,False,0,0,16,,,Prabal Chowdhury,Jadavpur/ Baghajatin,,False,,,,,,,,,https://wbcan.org/,,,5/10/2021 11:03:08,Undetermined,Phone Unreachable,,,,,,,,,,,,,,,,,
Karnataka,Mysuru (Mysore),19,300,oxygenblr.in,cc1b50f9-1b4d-44cc-8c26-73f25a56a4f5,78,oxygen,9980909788,False,0,0,14,,,Peenya Industrial Gases Pvt. Ltd.,,Not answering,False,,,,,Covid Directory,44323,,,,Anudeep,,44317,,Verified,Cylinder,Mysore,,,,,,,,,,,,,,,
Tamil Nadu,Chennai,32,538,Care,d1293810-21c2-4f46-85b5-bdd946dd9a44,918,oxygen,8023301807,False,0,0,1,,,Maruthi Medical,VN Medi Gases,Unreachable,False,,,,,,,,,https://twitter.com/intent/tweet?url=https%3A%2F%2Findiacovidresources.in%2F&text=,,,"April 25, 2021 7:24 PM",,,Oxygen,,,,,,,,,,,,,,,,
West Bengal,Hooghly,37,703,West Bengal COVID Aid Network,b3d2c79d-08ae-46a4-83eb-94a8dd240408,431,oxygen,7003092869,False,0,0,16,,,no name,Konnagar,Oxygen flow meter available.,False,,,,,,,,,https://wbcan.org/,,,5/10/2021 9:11:15,Available,Verified,,,,,,,,,,,,,,,,,
West Bengal,Birbhum,37,698,West Bengal COVID Aid Network,84a2a4e7-ab65-4b38-835a-9554d79967ce,387,oxygen,7384197999,False,0,0,16,,,Pritam Pami,Saithiya ,,False,,,,,,,,,https://wbcan.org/,,,5/11/2021 11:26:19,Undetermined,Call not answered,,,,,,,,,,,,,,,,,
Karnataka,Bengaluru (Bangalore) Rural,19,282,Care,e9281ae8-77ef-47a1-8c89-ba1920a1472c,951,oxygen,9312207777,False,0,0,1,Busy tone. Have left a message,,in Badarpur,Jamiat Ulama (Gowripalya),Unreachable,False,,,,,,,,,,,,"April 25, 2021 7:24 PM",,,Oxygen Cylinders,,,,,,,,,,,,,,,,
Maharashtra,Sangli,22,390,Care,aebc1659-21e0-494e-9120-74d491d4ad1c,342,oxygen,9825046073,False,0,0,1,,,Madhav Industrial Gases,Bharat Industrial Gases,Unreachable,False,,,,,,,,,https://twitter.com/intent/tweet?url=https%3A%2F%2Findiacovidresources.in%2F&text=,,,"April 25, 2021 7:24 PM",,,Oxygen,,,,,,,,,,,,,,,,
West Bengal,South 24 Parganas,37,715,West Bengal COVID Aid Network,0e8efe2e-3e9c-4282-9e2a-fedb9ba83b0c,432,oxygen,8910069868,False,0,0,16,,,no name,Behala,"One Jumbo Cylinder Available ta Behala,Sarsuna.40 litres with Humidifier,Unused.Only pickup.",False,,,,,,,,,https://wbcan.org/,,,5/10/2021 12:40:34,Available,Verified,,,,,,,,,,,,,,,,,
Tamil Nadu,Salem,32,555,Care,312ad8cc-3059-4751-ba79-e7202cb31048,349,oxygen,9940033333,False,0,0,1,Currently down with COVID,,O2-Matic,Vijay Kumar Gases,Unavailable Stock,False,,,,,,,,,https://twitter.com/intent/tweet?url=https%3A%2F%2Findiacovidresources.in%2F&text=,,,"April 25, 2021 7:24 PM",,,Oxygen,,,,,,,,,,,,,,,,
West Bengal,North 24 Parganas,37,711,West Bengal COVID Aid Network,e62d8263-f334-4af1-9a95-1bc3fb363ddd,297,oxygen,9800055678,False,0,0,16,,,Pharmaco ,Dumdum,,False,7980352250,,,,,,,,https://wbcan.org/,,,5/10/2021 10:53:44,Undetermined,Phone Unreachable,,,,,,,,,,,,,,,,,
West Bengal,Kolkata,37,707,Care,e027fdb8-7edf-4e7f-b4f9-4f621589644e,662,oxygen,7890066630,False,0,0,1,,,Debayan Ganguly,,Did not respond,False,,,,,,4/24/2021 1:37 PM,,,,Archisha Singh,,"April 24, 2021 1:37 PM",,,Cans,,,,,,,,,,,,,,,,
Uttar Pradesh,Kanpur Dehat,35,650,Care,f5e01bb6-a5ac-4d7f-a9c9-6300313376ff,684,oxygen,9,False,0,0,1,,,"Oxygen can, 10 I can for Rs. 630 - pickup",Shishir Vishvakarma,Unavailable Stock,False,,,,,,,,,https://twitter.com/intent/tweet?url=https%3A%2F%2Findiacovidresources.in%2F&text=,,,"April 25, 2021 7:24 PM",,,Oxygen Cylinders,,,,,,,,,,,,,,,,
Rajasthan,Jaipur,30,515,Hotstar Jaipur,dc1ac4b6-b000-4e20-9e0b-bc647db53164,16,oxygen,9024330468,False,0,0,10,,,Amit O2,,Unavailable on 1st May ,False,,,,,,01/05/2021 18:00,,,,,,,,Pending ,Cylinder,Jaipur,,,,,,,,,,,,,,,
Maharashtra,Nagpur,22,380,Care,5e7d85f0-f392-45f8-83a5-d34df18184f9,463,oxygen,8447390017,False,0,0,1,,,Oxygen,Aditya Air ProductsPvt. Ltd.,Unreachable,False,,,,,,,,,https://twitter.com/intent/tweet?url=https%3A%2F%2Findiacovidresources.in%2F&text=,,,"April 25, 2021 7:24 PM",,,Oxygen,,,,,,,,,,,,,,,,
West Bengal,Birbhum,37,698,West Bengal COVID Aid Network,2f88daa1-491f-4c09-9fd0-a55e13d529c6,385,oxygen,7001618811,False,0,0,16,,,Adrish De ,Bolpur,refilling only,False,,,,,,,,,https://wbcan.org/,,,5/11/2021 13:02:59,Undetermined,Call not answered,,,,,,,,,,,,,,,,,
Tamil Nadu,Chennai,32,538,Care,83b49b44-a658-4eca-add9-ce7881cb7bcf,914,oxygen,9688610111,False,0,0,1,Check back in 10 days,,Sri Sharadha Pmesh- wari Gases,Oxygen,Unavailable Stock,False,,,,,,,,,https://twitter.com/intent/tweet?url=https%3A%2F%2Findiacovidresources.in%2F&text=,,,"April 25, 2021 7:24 PM",,,Oxygen,,,,,,,,,,,,,,,,
Rajasthan,Jaipur,30,515,Hotstar Jaipur,af17b7a4-cc23-4b98-be40-5232752626b0,13,oxygen,9214979302,False,0,0,10,,,Kalinga Gases,,Unavailable on 1st May ,False,,,,,,01/05/2021 18:00,,,,,,,,Pending ,Cylinder,Jaipur,,,,,,,,,,,,,,,
Karnataka,Bengaluru (Bangalore) Urban,19,283,oxygenblr.in,7b1ae3bf-20d5-43f3-bf5e-9fbbce3e6a83,82,oxygen,9343565554,False,0,0,14,,,Lakshmi Cryogenics Pvt. Ltd,,Not answering,False,7204342964,,,,Covid Directory,44323,,Shetty,,Anudeep,,44317,,Verified,Cylinder,Bengaluru,,,,,,,,,,,,,,,
Rajasthan,Jaipur,30,515,Care,9f77dbe0-3e1d-4833-a328-54f6e4b9d349,729,oxygen,80222628469448470000,False,0,0,1,,,Drugs Controller Medical Oxygen War Room,Ankur Agenices,Unreachable,False,,,,,,,,,,,,"April 25, 2021 7:24 PM",,,Oxygen,,,,,,,,,,,,,,,,
Karnataka,Bengaluru (Bangalore) Urban,19,283,﻿COVID-19 Resource Leads for COVIDFYI  | Oxygen,de5659fb-8202-4f43-b9b7-1e90a0031573,299,oxygen,8867715015,False,0,0,12,,,Galaxy Air Products,"#20/19 Lakshmi Narayana Complex, Mysore Rd, Kumbalgodu, Karnataka 560074",,False,,,,,Mrudula,05/04/2021,,Cont.: R Tothumuthu,https://aiigma.org/,,,,,unreachable,refill,Bangalore,,,,,,,,,,,,,,,
Maharashtra,Mumbai City,22,378,Care,1bd6835c-9a6b-4e50-8989-b5f8f3d447ac,485,oxygen,9820144017,False,0,0,1,Security deposits cheques to be submitted while the cylinder,,RAMESH BHAI,"Alpesh Bhai / Bipin Bhai, Veer Foundation",Third Party Verified,False,,,,,,,,"AchalGach Jain Sangh, Vashi",,,,"April 25, 2021 7:24 PM",,,Oxygen - Refill,,,,,,,,,,,,,,,,
Delhi (NCT),New Delhi,12,158,﻿COVID-19 Resource Leads for COVIDFYI  | Oxygen,b40f10da-74c1-434c-b7c8-25038d674d0f,268,oxygen,9871067808,False,0,0,12,,,Oxygen ,Motinagar,Busy,False,,,,,Archana ,05/02/21,,,,,,,,,refill,Delhi,,,,,,,,,,,,,,,
