state,district,state_id,district_id,data_name,external_id,data_id,category,phone_1,is_duplicate,downvotes,upvotes,created_job,email,price,title,address,comment,deleted,phone_2,pincode,latitude,longitude,created_by,created_on,Assigned_to,description,source_link,verified_by,resource_type,last_verified_on,quantity_available,verification_status,last verified,resource type,city,pin_code,hospital_available_icu_beds,hospital_available_normal_beds,hospital_available_oxygen_beds,hospital_available_ventilator_beds,🔒 Row ID,Selected By User,Verification Image,oxygen supplier willing to join WhatsAppBot
Bihar,Patna,8,112,One time verified numbers,cabee5b3-4eb1-439e-af43-ab7d8430f264,61,hospital,9135582078,False,0,0,9,,,Ayushmann care Hospital ,,Oxygen beds available after nigt of 26 april,False,,,,,,,,(35 km from patna),,,,26 Apr 1:38 PM,,Verified,,Oxygen Bed,,,,,,,,,,
Bihar,Patna,8,112,CW Volunteers,d77edb13-0f2d-494a-b600-2d252042e1a7,36,hospital,9470003568,False,0,0,11,,Gov,Hospital,NMCH Patna,,False,,,,,cw12,01.05.2021,,for all,,,,,127,,,oxygen bed,,,,,,,,,,
Gujarat,Dahod,14,177,Verification App from Ruchika,d1debb64-80dd-4a99-b92b-1e0622071236,1390,hospital,7990161244,False,0,0,4,,,Railway Main Hospital Dahod,,Unresponsive,False,,,,,,"April 19, 2021 1:18pm",,,https://nhm.gujarat.gov.in/Portal/News/221_1_PVT-HOSPITAL-COVID-19-ISOLATON-BEDS.pdf,Jasseerat Kaur,,4/23/2021 5:16pm,,pending (not verified),,,,,,,,,iNgk8tMNSe2fQHwl9mKLfA,,https://drive.google.com/file/d/1K4Z8jpGUKFSHMu0xSE1tFtmyUAsXl-29/view?usp=sharing,
Gujarat,Navsari,14,190,Verification App from Ruchika,b2b5c72d-4611-408c-a3a9-6846c45661c3,1420,hospital,8141846005,False,0,0,4,drbbh@yahoo.in,,Orange Hospital,,Available and verified,False,2637242200,,,,,"April 19, 2021 1:18pm",,,https://nhm.gujarat.gov.in/Portal/News/221_1_PVT-HOSPITAL-COVID-19-ISOLATON-BEDS.pdf,Varun Kumar,,4/24/2021 1:57pm,,pending (not verified),,,,,,,,,QInhlSy4RA6AArag30X--g,,https://drive.google.com/file/d/1K4Z8jpGUKFSHMu0xSE1tFtmyUAsXl-29/view?usp=sharing,
Rajasthan,Hanumangarh,30,514,Verification App from Ruchika,34f02a85-e665-4e79-a937-24b6f77a71a0,1723,hospital,9413378778,False,0,0,4,,,Mahatma Gandhi Memorial Hospital,,Unresponsive,False,,,,,,"April 19, 2021 1:18pm",,,http://www.rajswasthya.nic.in/PDF/Notification%20Fully%20Dedicated%2005-04-2020.pdf,Diya Dashiwal,,4/27/2021 2:37pm,,pending (not verified),,,,,,,,,BhyRC2q8QhaGVyxT.mEwPg,,https://drive.google.com/file/d/1K4Z8jpGUKFSHMu0xSE1tFtmyUAsXl-29/view?usp=sharing,
Maharashtra,Mumbai City,22,378,CW Volunteers,31ce0b92-f8c9-4247-8a68-bf5800dbfe74,28,hospital,912222197331,False,0,0,11,,as per gov.,BMS Mumbai medical helpline,, ambulance and hospital services of this area ,False,,,,,cw22,30.04.2021,,"marine drive, kalbadevi, chira bazar, zaveri bazar, mommadali road, donngri b ward, mandvi",,,,,,,,oxygen bed,,,,,,,,,,
Bihar,Arwal,8,88,﻿COVID-19 Resource Leads for COVIDFYI  | Oxygen,c4e54e0b-4d71-495e-b49a-17b12e1be383,471,hospital,1234567890,False,0,0,12,,,Hospital Beds - Arwal,,,False,,,,,Gopal,05/10/2021,,Refer source link for covid bed/Oxygen/other resources availability,https://docs.google.com/spreadsheets/d/1foeKIDRi_U6VTsyv1s_Hi3-5dWbQfIBrARgjeQDgwaU/edit?usp=sharing,,,,,3rd_party_verified,,accepts_covid,Arwal,,,,,,,,,
Jharkhand,Bokaro,18,255,﻿COVID-19 Resource Leads for COVIDFYI  | Oxygen,8211b76b-f19b-4723-b686-c6e5dce7c4ee,474,hospital,1234567890,False,0,0,12,,,Hospital Beds - Bokaro,,,False,,,,,Gopal,05/10/2021,,Refer source link for covid bed/Oxygen/other resources availability,https://docs.google.com/spreadsheets/d/1foeKIDRi_U6VTsyv1s_Hi3-5dWbQfIBrARgjeQDgwaU/edit?usp=sharing,,,,,3rd_party_verified,,accepts_covid,Bokaro Steel City,,,,,,,,,
Uttarakhand,Champawat,36,686,Verification App from Ruchika,e52173f9-4f4e-4d3b-abb0-fda451fe626a,1900,hospital,5965231012,False,0,0,4,,,District Hospital,,Unresponsive,False,,,,,,"April 19, 2021 1:18pm",,,http://health.uk.gov.in/files/New_Doc_2020-03-31_16.55.08.pdf,Nidhi Rungta,,4/23/2021 9:06pm,,pending (not verified),,,,,,,,,JkDpWWEeRLOvfh.duPvW7Q,,https://drive.google.com/file/d/1K4Z8jpGUKFSHMu0xSE1tFtmyUAsXl-29/view?usp=sharing,
Uttarakhand,Pauri Garhwal,36,690,Verification App from Ruchika,28ded43a-c34f-476f-97b9-6349d1647a89,1904,hospital,1346244701,False,0,0,4,http://www.vcsgsrinagar.org/,,"Base Hospital Kotdwar, Srinagar Medical College",,Unresponsive,False,,,,,,"April 19, 2021 1:18pm",,,http://health.uk.gov.in/files/New_Doc_2020-03-31_16.55.08.pdf,Varun Kumar,,4/23/2021 6:54pm,,pending (not verified),,,,,,,,,uvYC.a7tRQG-a4kAz.Ztew,,https://drive.google.com/file/d/1K4Z8jpGUKFSHMu0xSE1tFtmyUAsXl-29/view?usp=sharing,
Uttarakhand,Uttarkashi,36,695,Verification App from Ruchika,173f92f1-f0fc-4bc8-ba2a-0d35eb44cabd,1910,hospital,1374222103,False,0,0,4,,,District Hospital,,Unresponsive,False,,,,,,"April 19, 2021 1:18pm",,,http://health.uk.gov.in/files/New_Doc_2020-03-31_16.55.08.pdf,Nidhi Rungta,,4/23/2021 5:57pm,,pending (not verified),,,,,,,,,hGdlNgdrTPuikEVJv27ZGg,,https://drive.google.com/file/d/1K4Z8jpGUKFSHMu0xSE1tFtmyUAsXl-29/view?usp=sharing,
West Bengal,Howrah,37,704,Verification App from Ruchika,3f438148-fae9-4173-81b3-55d432521623,1924,hospital,9230518611,False,0,0,4,,,Sanjivani Nursing Home,,Unresponsive,False,,,,,,"April 19, 2021 1:18pm",,,https://www.wbhealth.gov.in/uploaded_files/corona/COVID19_Hospitals-59_List.pdf,Varun Kumar,,4/24/2021 12:34pm,,pending (not verified),,,,,,,,,gWroyNjETN6i-aA5vb9KdQ,,https://drive.google.com/file/d/1K4Z8jpGUKFSHMu0xSE1tFtmyUAsXl-29/view?usp=sharing,
Uttar Pradesh,Lucknow,35,657,﻿COVID-19 Resource Leads for COVIDFYI  | Oxygen,2096f04f-71d4-4620-a3c5-db1d89542b62,291,hospital,9839214214,False,0,0,12,,,Lucknow Hospital,"B-1, Kanpur - Lucknow Rd, Sindhu Nagar, Behind, Krishna Nagar, Kotwali, Lucknow, Uttar Pradesh 226023",Normal Oxygen Support+ICU Oxygen Support+Ventilator Support provided.,False,0522 2470855,,,,Gopal,05/04/2021,,Incharge District Officer Order dated 24.04.2021,,,,,,verified,,accepts_covid,Lucknow,,,,,,,,,
Chhattisgarh,Raipur,10,148,CW Volunteers,65c2b640-78e2-456e-be6c-0a720c7c94df,10,hospital,9300850010,False,0,0,11,,free,ashwani dewagan,Kirti covid care center,,False,,,,,cw9,29.04.21,,,,,,,,,,oxygen bed,,,,,,,,,,
West Bengal,Howrah,37,704,Verification App from Ruchika,94ca4a3b-c96b-49f7-8cd4-f56a2929f313,1926,hospital,3340880000,False,0,0,4,,,"Ils Hospital , Golabarihowrah",,Unresponsive,False,,,,,,"April 19, 2021 1:18pm",,,https://www.wbhealth.gov.in/uploaded_files/corona/COVID19_Hospitals-59_List.pdf,Nidhi Rungta,,4/23/2021 2:02pm,,pending (not verified),,,,,,,,,It2O0Kt1R7S44UuHF9xgsQ,,https://drive.google.com/file/d/1K4Z8jpGUKFSHMu0xSE1tFtmyUAsXl-29/view?usp=sharing,
Gujarat,Amreli,14,169,Verification App from Ruchika,3937e57e-6113-4bbf-a7f3-7b4363b725fe,1355,hospital,9978293000,False,0,0,4,,,Navjivan General Hospital,,Available and verified,False,,,,,,"April 19, 2021 1:18pm",,,https://nhm.gujarat.gov.in/Portal/News/221_1_PVT-HOSPITAL-COVID-19-ISOLATON-BEDS.pdf,Varun Kumar,,4/22/2021 2:22pm,,pending (not verified),,,,,,,,,AxbRcReKSce8QMxm63IaVg,,https://drive.google.com/file/d/1K4Z8jpGUKFSHMu0xSE1tFtmyUAsXl-29/view?usp=sharing,
Gujarat,Surat,14,200,COVIDFYI,a329cfba-a984-4796-897f-cd8c87e13ed3,3672,hospital,9924144772,False,0,0,8,applehospital.surat@gmail.com,,Apple Hospital,,,False,2612310703,,,,,,,,https://nhm.gujarat.gov.in/Portal/News/221_1_PVT-HOSPITAL-COVID-19-ISOLATON-BEDS.pdf,,,4/24/2021 15:47:00,,Unresponsive,,,,,,,,,,,,
Rajasthan,Sikar,30,528,COVIDFYI,0e907917-01cd-4e37-9f38-98ca9a35b2f2,3959,hospital,1572274460,False,0,0,8,,,"Kalyan Arogya Sadan, Sanwali, Sikar",,,False,,,,,,,,,http://www.rajswasthya.nic.in/PDF/Notification%20Fully%20Dedicated%2005-04-2020.pdf,,,4/24/2021 12:49:00,,Unresponsive,,,,,,,,,,,,
Uttar Pradesh,Kaushambi,35,653,COVIDFYI,9015311b-c9f0-41cb-bf6e-e5372baa8515,4055,hospital,9451127528,False,0,0,8,,,The Purnima Hospital And Research Center,,,False,9451127528,,,,,,,,http://dgmhup.gov.in/documents/Compendium_DOMHFW.pdf,,,4/23/2021 17:54:00,,Unresponsive,,,,,,,,,,,,
Bihar,Madhepura,8,106,﻿COVID-19 Resource Leads for COVIDFYI  | Oxygen,0917cd2c-b8a7-488a-abe4-2fe0b3954454,489,hospital,1234567890,False,0,0,12,,,Hospital Beds - Madhepura,,,False,,,,,Gopal,05/10/2021,,Refer source link for covid bed/Oxygen/other resources availability,https://docs.google.com/spreadsheets/d/1foeKIDRi_U6VTsyv1s_Hi3-5dWbQfIBrARgjeQDgwaU/edit?usp=sharing,,,,,3rd_party_verified,,accepts_covid,Madhepura,,,,,,,,,
Gujarat,Morbi,14,188,Verification App from Ruchika,a30596e9-f7c1-4b75-b9c3-d5655eb8729e,1409,hospital,9825257493,False,0,0,4,krishnamultispecialityhospital@gmail.com,,Krishna Multispeciality Hospital,,Unresponsive,False,2822224491,,,,,"April 19, 2021 1:18pm",,,https://nhm.gujarat.gov.in/Portal/News/221_1_PVT-HOSPITAL-COVID-19-ISOLATON-BEDS.pdf,Jasseerat Kaur,,4/23/2021 5:33pm,,pending (not verified),,,,,,,,,a-bI881LxTG2NlNrWQ7N8VQ,,https://drive.google.com/file/d/1K4Z8jpGUKFSHMu0xSE1tFtmyUAsXl-29/view?usp=sharing,
Uttar Pradesh,Lucknow,35,657,﻿COVID-19 Resource Leads for COVIDFYI  | Oxygen,d115b62f-1f7a-47a1-a268-fe25a70cf2b3,324,hospital,9919604383,False,0,0,12,,,Vinayak Trauma Centre & Hospital,"Junabgunj,, Kanpur - Lucknow Rd, Lucknow, Uttar Pradesh 227101",,False,,,,,Gopal,05/06/2021,,,https://beds.dgmhup-covid19.in/EN/covid19bedtrack,,,,,verified,,accepts_covid,Lucknow,,,,,,,,,
Gujarat,Morbi,14,188,Verification App from Ruchika,f18a1553-807d-4360-bcd9-22fbe2b4d849,1410,hospital,7575088888,False,0,0,4,ayushhospitalmorbi@gmail.com,,Ayush Multispeciality Hospital,,Available and verified,False,2822222122,,,,,"April 19, 2021 1:18pm",,,https://nhm.gujarat.gov.in/Portal/News/221_1_PVT-HOSPITAL-COVID-19-ISOLATON-BEDS.pdf,Varun Kumar,,4/24/2021 1:35pm,,pending (not verified),,,,,,,,,3oa4ZDjwSzWD1hZ5f0l6-w,,https://drive.google.com/file/d/1K4Z8jpGUKFSHMu0xSE1tFtmyUAsXl-29/view?usp=sharing,
Bihar,Nalanda,8,110,﻿COVID-19 Resource Leads for COVIDFYI  | Oxygen,718fb50d-8343-4e12-9eb3-4e924b9c00ce,493,hospital,1234567890,False,0,0,12,,,Hospital Beds - Nalanda,,,False,,,,,Gopal,05/10/2021,,Refer source link for covid bed/Oxygen/other resources availability,https://docs.google.com/spreadsheets/d/1foeKIDRi_U6VTsyv1s_Hi3-5dWbQfIBrARgjeQDgwaU/edit?usp=sharing,,,,,3rd_party_verified,,accepts_covid,Nalanda,,,,,,,,,
Rajasthan,Jaipur,30,515,﻿COVID-19 Resource Leads for COVIDFYI  | Oxygen,0e227b6f-4fa1-4d43-b115-1c316c61b5d9,383,hospital,0141 2225624,False,0,0,12,,,Rajasthan Covid Control Room/Beds,Jaipur-Rajasthan,,False,181,,,,Gopal,05/09/2021,,Refer Source Link for bed availability status in Rajasthan.,https://covidinfo.rajasthan.gov.in/Covid-19hospital-wisebedposition-wholeRajasthan.aspx,,,,,verified,,accepts_covid,Jaipur,,,,,,,,,
Rajasthan,Alwar,30,501,Verification App from Ruchika,cf97833c-0574-4620-a6b4-9cf2e211463d,1714,hospital,7793007366,False,0,0,4,,,Rajiv Gandhi General Hospital,,Unresponsive,False,,,,,,"April 19, 2021 1:18pm",,,http://www.rajswasthya.nic.in/PDF/Notification%20Fully%20Dedicated%2005-04-2020.pdf,Varun Kumar,,4/22/2021 2:18pm,,pending (not verified),,,,,,,,,ikavjduXQKy9A14A.E61wQ,,https://drive.google.com/file/d/1K4Z8jpGUKFSHMu0xSE1tFtmyUAsXl-29/view?usp=sharing,
Bihar,West Champaran,8,124,﻿COVID-19 Resource Leads for COVIDFYI  | Oxygen,941084ff-a618-42ab-a835-7cec7ca15165,506,hospital,1234567890,False,0,0,12,,,Hospital Beds - West Champaran,,,False,,,,,Gopal,05/10/2021,,Refer source link for covid bed/Oxygen/other resources availability,https://docs.google.com/spreadsheets/d/1foeKIDRi_U6VTsyv1s_Hi3-5dWbQfIBrARgjeQDgwaU/edit?usp=sharing,,,,,3rd_party_verified,,accepts_covid,West Champaran,,,,,,,,,
Rajasthan,Alwar,30,501,Verification App from Ruchika,9fa8bf16-e69b-48e2-8e65-c60b2983c686,1713,hospital,1445132019,False,0,0,4,,,Lords Hospital,,Unresponsive,False,,,,,,"April 19, 2021 1:18pm",,,http://www.rajswasthya.nic.in/PDF/Notification%20Fully%20Dedicated%2005-04-2020.pdf,Varun Kumar,,4/22/2021 2:17pm,,pending (not verified),,,,,,,,,3iWVJm8eQTO9cNG5gyYJ4A,,https://drive.google.com/file/d/1K4Z8jpGUKFSHMu0xSE1tFtmyUAsXl-29/view?usp=sharing,
Madhya Pradesh,Bhopal,21,319,COVIDFYI,5f9cd9af-1802-4d89-ae12-21f3a81ffc94,3352,hospital,7692940261,False,0,0,8,,,RKDF University Hospital,,,False,919301108890,,,,,,,,https://twitter.com/_cpsharma/status/1386314684517687302,,,4/27/2021 14:35:00,,Pending,,,,,,,,,,,,
Telangana,Hyderabad,33,571,﻿COVID-19 Resource Leads for COVIDFYI  | Oxygen,78fc5640-c3e0-4675-b58e-988313cadacf,150,hospital,9700884429,False,0,0,12,,,Pratima Hospital,,,False,,,,,Nikita,05/01/21,,,,,,,,verified,,,Hyderabad,,Available ,Available ,Available ,Information given based on the patient's condition and SRF id. ,,,,
Uttar Pradesh,Lucknow,35,657,﻿COVID-19 Resource Leads for COVIDFYI  | Oxygen,666379a7-3b39-4555-b221-9f58e8674849,295,hospital,8960099939,False,0,0,12,,,Jagrani Hospital,"C 50 51, Trimurti Gram, Ring Road, Kalyanpur, Lucknow, Uttar Pradesh 226022",ICU Oxygen Support+Ventilator Support provided.,False,,,,,Gopal,05/04/2021,,Incharge District Officer Order dated 24.04.2021,,,,,,verified,,accepts_covid,Lucknow,,,,,,,,,
Kerala,Kottayam,1,5,COVIDFYI,75dafcae-6e8d-4277-92b0-c1c2c4939b1d,3767,hospital,9447347282,False,0,0,8,,,General Hospital Kottayam,,,False,,,,,,,,,http://dhs.kerala.gov.in/wp-content/uploads/2020/03/83744569_2653648304863977_9161871785963028480_o-1.jpg,,,4/24/2021 12:09:00,,Unresponsive,,,,,,,,,,,,
Uttar Pradesh,Lucknow,35,657,﻿COVID-19 Resource Leads for COVIDFYI  | Oxygen,1299c0d9-2874-499e-9cd2-388e8032371c,239,hospital,7982565379,False,0,0,12,05226666666,,Chandan Hospital,"Faizabad Rd, Vikrant Khand 3, Vikrant Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010",Normal Oxygen Support+ICU Oxygen Support+Ventilator Support provided.,False,9849040855,,,,Gopal,05/02/21,,Incharge District Officer Order dated 24.04.2021,https://beds.dgmhup-covid19.in/EN/covid19bedtrack,,,,,verified,,accepts_covid,Lucknow,226010,,,,,,,,
Tamil Nadu,Chennai,32,538,COVIDFYI,7e8be047-8f54-413a-85a1-4e4b08ec4af3,3967,hospital,7358033302,False,0,0,8,,,Child Trust Hospitals,,,False,,,,,,,,,http://www.stopcoronatn.in/files/Contact_for_Healthcare_Organizations_Telemedicine_Facilities_In_Tamil_Nadu.pdf,,,4/23/2021 14:06:00,,Unresponsive,,,,,,,,,,,,
Bihar,Kaimur (Bhabua),8,101,﻿COVID-19 Resource Leads for COVIDFYI  | Oxygen,779ef945-26c5-4446-8064-cbbcf7efb98d,483,hospital,1234567890,False,0,0,12,,,Hospital Beds - Kaimur,,,False,,,,,Gopal,05/10/2021,,Refer source link for covid bed/Oxygen/other resources availability,https://docs.google.com/spreadsheets/d/1foeKIDRi_U6VTsyv1s_Hi3-5dWbQfIBrARgjeQDgwaU/edit?usp=sharing,,,,,3rd_party_verified,,accepts_covid,Kaimur (Bhabua),,,,,,,,,
Maharashtra,Mumbai City,22,378,﻿COVID-19 Resource Leads for COVIDFYI  | Oxygen,f5cedced-774d-4eb1-b300-55ea222e9563,111,hospital,022-61242424,False,0,0,12,,,Horizon Hospital,Thane,No bed available,False,,,,,Pawan,04/30/21,,,,,,,,verified,,,Mumbai,,,,,,,,,
Uttar Pradesh,Lucknow,35,657,﻿COVID-19 Resource Leads for COVIDFYI  | Oxygen,299b9372-9874-4f85-9665-4be43590b25e,227,hospital,8176001561,False,0,0,12,7275068939,,Dr. Ram Manohar Lohia Institute of Medical Sciences,"Vibhuti Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010",,False,9453075416,,,,Gopal,05/02/21,,Incharge District Officer Order dated 24.04.2021,https://beds.dgmhup-covid19.in/EN/covid19bedtrack,,,,,verified,,accepts_covid,Lucknow,226010,,,,,,,,
Delhi (NCT),New Delhi,12,158,CW Volunteers,4a7e63a0-cda0-4b92-ad71-d3f59747a18e,64,hospital,9968656990,False,0,0,11,,,Hospital,army the SVP covid hospital,,False,9818047498,,,,cw6,04.05.2021,,for those who require,,,,,,,,ventilator bed,,,,,,,,,,
Bihar,Patna,8,112,﻿COVID-19 Resource Leads for COVIDFYI  | Oxygen,b695bd10-8f59-43b3-83cf-873a9a2f3263,495,hospital,1234567890,False,0,0,12,,,Hospital Beds - Patna,,,False,,,,,Gopal,05/10/2021,,Refer source link for covid bed/Oxygen/other resources availability,https://docs.google.com/spreadsheets/d/1foeKIDRi_U6VTsyv1s_Hi3-5dWbQfIBrARgjeQDgwaU/edit?usp=sharing,,,,,3rd_party_verified,,accepts_covid,Patna,,,,,,,,,
Uttar Pradesh,Lucknow,35,657,﻿COVID-19 Resource Leads for COVIDFYI  | Oxygen,2fdb1c01-90f8-4710-a6e7-6069f72c0be2,322,hospital,0522 2960439,False,0,0,12,,,Career Institute of Medical Sciences and Hospital,"Sitapur - Hardoi Bypass Road, Near I.I.M., Ghailla, Lucknow, Uttar Pradesh 226020",,False,,,,,Gopal,05/05/2021,,Incharge District Officer Order dated 24.04.2021,,,,,,verified,,accepts_covid,Lucknow,,,,,,,,,
Uttarakhand,Champawat,36,686,﻿COVID-19 Resource Leads for COVIDFYI  | Oxygen,d39f2005-4351-4098-b479-e3559620ca0a,458,hospital,1234567890,False,0,0,12,,,Champawat Covid Beds,Champawat,,False,,,,,Gopal,05/10/2021,,Refer source link for Hospital bed occupancy.,http://covid19.uk.gov.in/bedssummary.aspx,,,,,verified,,accepts_covid,Champawat,,,,,,,,,
Meghalaya,East Garo Hills,24,414,COVIDFYI,92b3a2a2-aee5-4213-970b-ebd22f04d9a9,3873,hospital,8414055904,False,0,0,8,,,Williamnagar Civil Hospital,,,False,,,,,,,,,"http://meghalaya.gov.in/megcms/sites/default/files/announcement/List%20of%20Hospitals%20for%20COVID_Category%20A,%20B,%20C,%20D.pdf",,,4/27/2021 14:40:00,,Available and verified,,,,,,,,,,,,
Uttar Pradesh,Lucknow,35,657,﻿COVID-19 Resource Leads for COVIDFYI  | Oxygen,3e8b9b85-40c5-43f0-ac8d-cd1c902652dd,253,hospital,0522-2622627,False,0,0,12,,,DRDO Avadh Shilpgram Covid Care Centre,"near, Sector 9, Amar Shaheed Path, Awadh Vihar Yojna, Lucknow, Uttar Pradesh 226029",As per news- will be available  by 5-7 May 2021.,False,9454416813,,,,Gopal,05/02/21,,Times of India News,,,,,,not verified,,accepts_covid,Lucknow,226029,,,,,,,,
Gujarat,Jamnagar,14,182,COVIDFYI,9d8186fc-fcd9-4a60-aa47-bf4b5ca752bd,3622,hospital,9652051550,False,0,0,8,,,Jamnagar Critical Care Hospital,,,False,2882563056,,,,,,,,https://nhm.gujarat.gov.in/Portal/News/221_1_PVT-HOSPITAL-COVID-19-ISOLATON-BEDS.pdf,,,4/23/2021 17:59:00,,Unresponsive,,,,,,,,,,,,
Uttar Pradesh,Lucknow,35,657,﻿COVID-19 Resource Leads for COVIDFYI  | Oxygen,8bbba621-d0cf-4f23-9fe0-4510b14ff2cc,241,hospital,8004748577,False,0,0,12,,,Lucknow Heritage Hospital,"Kanchan Market Complex, Phool Mandi, Chowk, Lucknow, Uttar Pradesh 226003",Normal Oxygen Support+ICU Oxygen Support+Ventilator Support provided.,False,0522 225 8577,,,,Gopal,05/02/21,,Incharge District Officer Order dated 24.04.2021,https://beds.dgmhup-covid19.in/EN/covid19bedtrack,,,,,verified,,accepts_covid,Lucknow,226003,,,,,,,,
Bihar,Patna,8,112,CW Volunteers,1ea9f790-9e1b-4cc8-8040-322340bba063,38,hospital,7903149205,False,0,0,11,,Critical Patients,Hospital,Ashoka Patliputra patna,,False,,,,,cw12,01.05.2021,,for all,,,,,10,,,icu bed,,,,,,,,,,
Rajasthan,Jaipur,30,515,﻿COVID-19 Resource Leads for COVIDFYI  | Oxygen,b6f0d13a-e8af-4ce2-a473-8eb433f4d1db,522,hospital,9828816158,False,0,0,12,9982294194,,Swasthya Kalyan Covid Care Centre,"Sitapura, Jaipur",,False,9887587811,,,,Gopal,05/11/2021,,,,,,,,3rd_party_verified,,accepts_covid,Jaipur,,,,,,,,,
Rajasthan,Jaipur,30,515,COVIDFYI,4b6e0092-596f-48c5-b7b5-09a7d6beee28,3945,hospital,1412246161,False,0,0,8,,,Asopa Hospital,,,False,,,,,,,,,https://www.theuncutteam.com/resources,,,4/27/2021 14:41:00,,Unavailable but verified,,,,,,,,,,,,
Bihar,Nawada,8,111,﻿COVID-19 Resource Leads for COVIDFYI  | Oxygen,c559c6bb-e29c-44d8-8459-3a6b97df28f6,494,hospital,1234567890,False,0,0,12,,,Hospital Beds - Nawada,,,False,,,,,Gopal,05/10/2021,,Refer source link for covid bed/Oxygen/other resources availability,https://docs.google.com/spreadsheets/d/1foeKIDRi_U6VTsyv1s_Hi3-5dWbQfIBrARgjeQDgwaU/edit?usp=sharing,,,,,3rd_party_verified,,accepts_covid,Nawada,,,,,,,,,
